description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
positive regulation of cyclic-nucleotide phosphodiesterase activity	GO:0051343	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	CALM2
extracellular matrix organization	GO:0030198	5	72	165	18228	0.0004906766663373979	0.10947073680506163	7.671717171717171	0	ECM2, COL15A1, COL1A1, ST7, COL3A1
axon regeneration	GO:0031103	2	72	15	18228	0.0015627012550607441	0.10947073680506163	33.75555555555555	0	MAPK8IP3, C5orf13
response to fluoride	GO:1902617	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	COL1A1
protein adenylylation	GO:0018117	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	SELO
regulation of retrograde trans-synaptic signaling by endocanabinoid	GO:0099178	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	FABP5
response to gonadotropin-releasing hormone	GO:0097210	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	TCF12
positive regulation of canonical Wnt signaling pathway	GO:0090263	3	72	116	18228	0.010891644617682009	0.10947073680506163	6.547413793103448	0	DAPK3, COL1A1, DAAM2
chemorepulsion involved in interneuron migration from the subpallium to the cortex	GO:0021842	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	NRG3
neuromuscular junction development, skeletal muscle fiber	GO:0098529	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	CNTNAP1
positive regulation of toll-like receptor signaling pathway	GO:0034123	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	LRCH4
cellular response to vitamin E	GO:0071306	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	COL1A1
response to capsazepine	GO:1901594	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	TRPV1
positive regulation of cell-substrate adhesion	GO:0010811	2	72	36	18228	0.0088878681779914	0.10947073680506163	14.064814814814813	0	ECM2, RAC1
ruffle organization	GO:0031529	2	72	15	18228	0.0015627012550607441	0.10947073680506163	33.75555555555555	0	RAC1, TPM1
negative regulation of establishment of blood-brain barrier	GO:0090212	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	TRPV1
negative regulation of neuron migration	GO:2001223	2	72	12	18228	0.000989829749129507	0.10947073680506163	42.19444444444444	0	NRG3, COL3A1
cellular response to nerve growth factor stimulus	GO:1990090	2	72	35	18228	0.008415443527482847	0.10947073680506163	14.466666666666665	0	KIDINS220, TRPV1
regulation of non-canonical Wnt signaling pathway	GO:2000050	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	DAAM2
fever generation	GO:0001660	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	TRPV1
retrograde trans-synaptic signaling by endocannabinoid	GO:0098921	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	FABP5
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	GO:1902635	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	PIP5K2A
negative regulation of Fas signaling pathway	GO:1902045	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	SMAD5
neuromuscular process controlling posture	GO:0050884	2	72	15	18228	0.0015627012550607441	0.10947073680506163	33.75555555555555	0	HEXA, CNTNAP1
Rac protein signal transduction	GO:0016601	2	72	25	18228	0.004352399376123905	0.10947073680506163	20.25333333333333	0	RAC1, NISCH
osteoblast fate commitment	GO:0002051	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	SMAD5
regulation of cell motility	GO:2000145	2	72	19	18228	0.0025191110259059	0.10947073680506163	26.649122807017545	0	DAPK3, CDK6
cellular response to fluoride	GO:1902618	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	COL1A1
clathrin-dependent synaptic vesicle endocytosis	GO:0150007	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	ITSN2
surfactant secretion	GO:0160069	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	KIAA0792
negative regulation of peptidyl-lysine crotonylation	GO:0120094	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	CDYL
positive regulation of neutrophil mediated killing of fungus	GO:0070965	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	ARG1
smooth muscle contraction involved in micturition	GO:0060083	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	TRPV1
cardiac muscle contraction	GO:0060048	3	72	43	18228	0.0006510869163959892	0.10947073680506163	17.662790697674417	0	TTN, TPM1, SMAD5
tooth mineralization	GO:0034505	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	COL1A1
regulation of satellite cell activation involved in skeletal muscle regeneration	GO:0014717	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	CX40.1
skeletal muscle myosin thick filament assembly	GO:0030241	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	TTN
detection of chemical stimulus involved in sensory perception of pain	GO:0050968	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	TRPV1
muscle contraction	GO:0006936	3	72	79	18228	0.0037694471236492753	0.10947073680506163	9.61392405063291	0	CALD1, TTN, TPM3
regulation of prostaglandin biosynthetic process	GO:0031392	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	FABP5
detection of temperature stimulus involved in thermoception	GO:0050960	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	TRPV1
negative regulation of caveolin-mediated endocytosis	GO:2001287	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	PROM2
regulation of high-density lipoprotein particle assembly	GO:0090107	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	LCAT
cytotoxic T cell pyroptotic cell death	GO:1902483	1	72	2	18228	0.00788454778092372	0.10947073680506163	126.58333333333333	0	GSDML
regulation of protein activation cascade	GO:2000257	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	RASAL2
transforming growth factor beta1 production	GO:0032905	1	72	3	18228	0.01180380118593708	0.10947073680506163	84.38888888888889	0	COL3A1
regulation of myosin II filament organization	GO:0043519	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	DAPK3
positive regulation of heart rate by epinephrine	GO:0003065	1	72	1	18228	0.003949967083607636	0.10947073680506163	253.16666666666666	0	TPM1
regulation of actin cytoskeleton organization	GO:0032956	3	72	93	18228	0.0059471117666902145	0.10947073680506163	8.166666666666666	0	DAPK3, RAC1, DAAM2
