description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
muscle thin filament tropomyosin	GO:0005862	2	72	4	19099	8.367943206105876e-05	0.01489493890686846	132.63194444444443	0	TPM1, TPM3
stress fiber	GO:0001725	4	72	87	19099	0.0003263069874896713	0.029041321886580748	12.196040868454661	0	CALD1, D6S1101, TPM1, TPM3
collagen trimer	GO:0005581	4	72	99	19099	0.0005333979211691108	0.03164827665603391	10.71773288439955	0	COL15A1, COL1A1, C1QTNF6, COL3A1
sarcomere	GO:0030017	3	72	59	19099	0.0014354527937703568	0.06387764932278088	13.487994350282484	0	CALM2, GEFT, TPM1
calyx of Held	GO:0044305	2	72	21	19099	0.002809775305345455	0.0745588774281376	25.26322751322751	0	BZRAP1, CALM2
septate junction	GO:0005918	1	72	1	19099	0.0037698308811979684	0.0745588774281376	265.26388888888886	0	CNTNAP1
cyclin D2-CDK6 complex	GO:0097132	1	72	1	19099	0.0037698308811979684	0.0745588774281376	265.26388888888886	0	CDK6
collagen type III trimer	GO:0005586	1	72	1	19099	0.0037698308811979684	0.0745588774281376	265.26388888888886	0	COL3A1
collagen type XV trimer	GO:0005582	1	72	1	19099	0.0037698308811979684	0.0745588774281376	265.26388888888886	0	COL15A1
beta-N-acetylhexosaminidase complex	GO:1905379	1	72	2	19099	0.007525646787395147	0.0787979487150786	132.63194444444443	0	HEXA
actin filament	GO:0005884	3	72	97	19099	0.005878952623232768	0.0787979487150786	8.204037800687285	0	RAC1, TPM1, TPM3
cyclin D1-CDK6 complex	GO:0097131	1	72	2	19099	0.007525646787395147	0.0787979487150786	132.63194444444443	0	CDK6
collagen type I trimer	GO:0005584	1	72	2	19099	0.007525646787395147	0.0787979487150786	132.63194444444443	0	COL1A1
actin cytoskeleton	GO:0015629	5	72	293	19099	0.004972722084262731	0.0787979487150786	4.526687523701176	0	CALD1, D6S1101, TPM1, TPM3, ARGBP2
prominosome	GO:0071914	1	72	2	19099	0.007525646787395147	0.0787979487150786	132.63194444444443	0	PROM2
cyclin D3-CDK6 complex	GO:0097133	1	72	2	19099	0.007525646787395147	0.0787979487150786	132.63194444444443	0	CDK6
H zone	GO:0031673	1	72	2	19099	0.007525646787395147	0.0787979487150786	132.63194444444443	0	D6S1101
microspike	GO:0044393	1	72	3	19099	0.011267499090443141	0.10028074190494396	88.4212962962963	0	PROM2
ESCRT II complex	GO:0000814	1	72	3	19099	0.011267499090443141	0.10028074190494396	88.4212962962963	0	C13orf9
cell projection	GO:0042995	9	72	976	19099	0.010837594749415183	0.10028074190494396	2.446080942622951	0	PIP5K2A, BAIAP1, CDK6, TRPV1, MAPK8IP3, RAC1, D6S1101, ARGBP2, PROM2
cytosol	GO:0005829	30	72	5480	19099	0.012358391874354393	0.10475208350643248	1.4521745742092458	0	FABP5, BZRAP1, LARP2, CALD1, KIDINS220, DAPK3, HEXA, PLA2G4B, TOB2, KIAA0217, CALM2, MCM3AP, HIF3A, EDF1, PIP5K2A, CDK6, GEFT, RASAL2, TTN, RAC1, D6S1101, ARG1, TPM1, NISCH, ITSN2, SMAD5, C13orf9, TPM3, STAF42, BTBD2
cyclin-dependent protein kinase holoenzyme complex	GO:0000307	2	72	46	19099	0.013033204072344099	0.10509422166187846	11.533212560386472	0	CCNL2, CDK6
myofibril	GO:0030016	2	72	47	19099	0.013579590439456207	0.10509422166187846	11.287825059101653	0	CALD1, GEFT
actin cap	GO:0030478	1	72	4	19099	0.0149954389765705	0.10676752551318194	66.31597222222221	0	CALD1
Z disc	GO:0030018	3	72	135	19099	0.014447190383545182	0.10676752551318194	5.894753086419753	0	TTN, D6S1101, ARGBP2
extracellular exosome	GO:0070062	15	72	2209	19099	0.01645572309702423	0.11265841197193512	1.8012486796438811	0	FABP5, LCAT, HEXA, COL15A1, TTN, RAC1, C7, ISLR, ITSN2, C13orf9, DAAM2, TPM3, LRRN4, KIAA0792, PROM2
transcription export complex 2	GO:0070390	1	72	5	19099	0.01870951744704376	0.12334422613236257	53.05277777777778	0	MCM3AP
axon cytoplasm	GO:1904115	2	72	65	19099	0.025019411000253292	0.14516063106536392	8.161965811965812	0	MAPK8IP3, D6S1101
SMAD protein complex	GO:0071141	1	72	7	19099	0.026096293225233963	0.14516063106536392	37.894841269841265	0	SMAD5
membrane attack complex	GO:0005579	1	72	7	19099	0.026096293225233963	0.14516063106536392	37.894841269841265	0	C7
SAGA-type complex	GO:0070461	1	72	7	19099	0.026096293225233963	0.14516063106536392	37.894841269841265	0	STAF42
focal adhesion	GO:0005925	5	72	429	19099	0.022882155182728337	0.14516063106536392	3.091653716653717	0	MRC2, RAC1, D6S1101, ARGBP2, STAF42
heteromeric SMAD protein complex	GO:0071144	1	72	8	19099	0.029769091616590724	0.1558499502280338	33.15798611111111	0	SMAD5
hemidesmosome	GO:0030056	1	72	8	19099	0.029769091616590724	0.1558499502280338	33.15798611111111	0	D6S1101
plasma membrane	GO:0005886	28	72	5399	19099	0.03320811741112766	0.16081689393071455	1.3756971455619353	0	FABP5, RNF5, CALD1, CNTNAP1, CALM2, HIF3A, PIP5K2A, GSDML, BAIAP1, TRPV1, GEFT, CX40.1, CLEC2D, MAPK8IP3, RAC1, D6S1101, C7, NISCH, NOPE, ITSN2, NRG3, LRRN4, KIAA0792, PALM2, ARGBP2, NAALAD2, PROM2, LRCH4
bleb	GO:0032059	1	72	9	19099	0.03342823076087887	0.16081689393071455	29.473765432098766	0	TPM1
paranodal junction	GO:0033010	1	72	9	19099	0.03342823076087887	0.16081689393071455	29.473765432098766	0	CNTNAP1
striated muscle thin filament	GO:0005865	1	72	11	19099	0.040705731472369146	0.18578513338671046	24.11489898989899	0	TTN
azurophil granule	GO:0042582	1	72	11	19099	0.040705731472369146	0.18578513338671046	24.11489898989899	0	HEXA
paranode region of axon	GO:0033270	1	72	12	19099	0.044324192669665315	0.19105624242239239	22.105324074074076	0	CNTNAP1
interstitial matrix	GO:0005614	1	72	12	19099	0.044324192669665315	0.19105624242239239	22.105324074074076	0	ECM2
basement membrane	GO:0005604	2	72	94	19099	0.04904928443748653	0.19105624242239239	5.643912529550827	0	COL15A1, D6S1101
azurophil granule lumen	GO:0035578	2	72	91	19099	0.04628222480417234	0.19105624242239239	5.82997557997558	0	FABP5, ARG1
cullin-RING ubiquitin ligase complex	GO:0031461	1	72	14	19099	0.05152078447345412	0.19105624242239239	18.947420634920633	0	CUL4A
