description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
platelet-derived growth factor binding	GO:0048407	2	70	11	18329	0.000773367790628277	0.05130006344500904	47.60779220779221	0	COL1A1, COL3A1
extracellular matrix structural constituent conferring tensile strength	GO:0030020	3	70	45	18329	0.0006747687608234999	0.05130006344500904	17.456190476190475	0	COL15A1, COL1A1, COL3A1
structural constituent of muscle	GO:0008307	3	70	42	18329	0.000550391160573947	0.05130006344500904	18.703061224489797	0	TTN, TPM1, ARGBP2
cytoskeletal protein binding	GO:0008092	3	70	60	18329	0.001562036685583944	0.062169060086240964	13.092142857142857	0	CALD1, D6S1101, TPM1
protein kinase regulator activity	GO:0019887	2	70	14	18329	0.001270125766851667	0.062169060086240964	37.40612244897959	0	KIDINS220, TTN
integrin binding	GO:0005178	4	70	159	18329	0.0032058830110872354	0.09499972720824923	6.587241689128482	0	ECM2, D6S1101, NISCH, COL3A1
phosphatidylcholine-sterol O-acyltransferase activity	GO:0004607	1	70	1	18329	0.003819084510884391	0.09499972720824923	261.8428571428571	0	LCAT
temperature-gated ion channel activity	GO:0097603	1	70	1	18329	0.003819084510884391	0.09499972720824923	261.8428571428571	0	TRPV1
1-phosphatidylinositol-5-phosphate 4-kinase activity	GO:0016309	1	70	3	18329	0.011414173395807732	0.11357102528828693	87.28095238095239	0	PIP5K2A
arginase activity	GO:0004053	1	70	3	18329	0.011414173395807732	0.11357102528828693	87.28095238095239	0	ARG1
protease binding	GO:0002020	3	70	111	18329	0.008816875830037775	0.11357102528828693	7.076833976833976	0	TTN, COL1A1, COL3A1
Rho GDP-dissociation inhibitor binding	GO:0051022	1	70	3	18329	0.011414173395807732	0.11357102528828693	87.28095238095239	0	RAC1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	GO:0016813	1	70	2	18329	0.0076237911937869505	0.11357102528828693	130.92142857142855	0	ARG1
N-acetyl-beta-D-galactosaminidase activity	GO:0102148	1	70	3	18329	0.011414173395807732	0.11357102528828693	87.28095238095239	0	HEXA
FBXO family protein binding	GO:0098770	1	70	2	18329	0.0076237911937869505	0.11357102528828693	130.92142857142855	0	CDK6
calmodulin binding	GO:0005516	4	70	207	18329	0.008106697342833633	0.11357102528828693	5.059765355417529	0	CALD1, EDF1, TRPV1, TTN
crotonyl-CoA hydratase activity	GO:0120092	1	70	2	18329	0.0076237911937869505	0.11357102528828693	130.92142857142855	0	CDYL
collagen V binding	GO:0070052	1	70	3	18329	0.011414173395807732	0.11357102528828693	87.28095238095239	0	ECM2
structural molecule activity conferring elasticity	GO:0097493	1	70	2	18329	0.0076237911937869505	0.11357102528828693	130.92142857142855	0	TTN
AMPylase activity	GO:0070733	1	70	2	18329	0.0076237911937869505	0.11357102528828693	130.92142857142855	0	SELO
beta-N-acetylhexosaminidase activity	GO:0004563	1	70	4	18329	0.015190284269009384	0.11978746721133936	65.46071428571427	0	HEXA
SMAD binding	GO:0046332	2	70	50	18329	0.015650623856757907	0.11978746721133936	10.473714285714285	0	TCF12, COL3A1
adenylate cyclase activator activity	GO:0010856	1	70	4	18329	0.015190284269009384	0.11978746721133936	65.46071428571427	0	CALM2
osmolarity-sensing monoatomic cation channel activity	GO:1990760	1	70	4	18329	0.015190284269009384	0.11978746721133936	65.46071428571427	0	KIAA0792
platelet-activating factor acetyltransferase activity	GO:0047179	1	70	4	18329	0.015190284269009384	0.11978746721133936	65.46071428571427	0	LCAT
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	GO:0099626	1	70	4	18329	0.015190284269009384	0.11978746721133936	65.46071428571427	0	BZRAP1
