description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Talipes equinovarus	HP:0001762	8	22	399	5046	0.00016923937364192402	0.08586521808611261	4.598769651401231	0	BZRAP1, KIDINS220, CNTNAP1, TTN, COL1A1, D6S1101, TPM3, COL3A1
Molluscoid pseudotumors	HP:0000993	2	22	7	5046	0.00037610341875680796	0.08586521808611261	65.53246753246754	0	COL1A1, COL3A1
Hand clenching	HP:0001188	3	22	31	5046	0.0002988294254813525	0.08586521808611261	22.19648093841642	0	KIDINS220, CNTNAP1, D6S1101
Positional foot deformity	HP:0005656	8	22	471	5046	0.0005336557991678845	0.08586521808611261	3.895773016792125	0	BZRAP1, KIDINS220, CNTNAP1, TTN, COL1A1, D6S1101, TPM3, COL3A1
Genital hernia	HP:0100823	2	22	8	5046	0.0005001468498912425	0.08586521808611261	57.340909090909086	0	COL1A1, COL3A1
Arterial rupture	HP:0025019	2	22	8	5046	0.0005001468498912425	0.08586521808611261	57.340909090909086	0	COL1A1, COL3A1
Uterine prolapse	HP:0000139	2	22	7	5046	0.00037610341875680796	0.08586521808611261	65.53246753246754	0	COL1A1, COL3A1
Atrophic scars	HP:0001075	3	22	37	5046	0.0005078655126199922	0.08586521808611261	18.597051597051596	0	COL1A1, D6S1101, COL3A1
Cervical insufficiency	HP:0030009	2	22	4	5046	0.00010831433741879152	0.08586521808611261	114.68181818181817	0	COL1A1, COL3A1
Talipes	HP:0001883	8	22	467	5046	0.0005035033764313342	0.08586521808611261	3.9291415222892736	0	BZRAP1, KIDINS220, CNTNAP1, TTN, COL1A1, D6S1101, TPM3, COL3A1
Cigarette-paper scars	HP:0001073	2	22	10	5046	0.0007995685405057313	0.09993221195135726	45.872727272727275	0	COL1A1, COL3A1
Abnormal delivery	HP:0001787	4	22	100	5046	0.000807407554610096	0.09993221195135726	9.174545454545456	0	COL1A1, D6S1101, TPM3, COL3A1
Facial diplegia	HP:0001349	3	22	43	5046	0.0007930740961497707	0.09993221195135726	16.00211416490486	0	CNTNAP1, TTN, TPM3
Abnormal atrioventricular valve morphology	HP:0006705	5	22	183	5046	0.0009457196864676431	0.10454970644524038	6.266766020864382	0	TTN, COL1A1, TPM1, TPM3, COL3A1
Arteriovenous fistula	HP:0004947	2	22	11	5046	0.0009746709736970826	0.10454970644524038	41.70247933884298	0	COL1A1, COL3A1
Arterial dissection	HP:0005294	2	22	12	5046	0.0011665185551668125	0.1173080222039626	38.227272727272734	0	COL1A1, COL3A1
Fetal onset	HP:0011461	5	22	195	5046	0.0012597165501152686	0.11922846641973336	5.881118881118881	0	KIDINS220, CNTNAP1, CALM2, RAC1, TPM1
Abnormal uterine cervix morphology	HP:0012888	2	22	13	5046	0.0013749753269707398	0.12290751672755114	35.28671328671329	0	COL1A1, COL3A1
Breech presentation	HP:0001623	3	22	57	5046	0.0018074288809694131	0.1454076534739893	12.07177033492823	0	COL1A1, D6S1101, TPM3
Mitral valve prolapse	HP:0001634	4	22	123	5046	0.0017498572095660293	0.1454076534739893	7.458980044345898	0	TTN, COL1A1, TPM3, COL3A1
Decreased lecithin cholesterol acyl transferase level	HP:0025433	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	LCAT
Bilateral vocal cord paresis	HP:0012822	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	D6S1101
Lipoatrophy	HP:0100578	3	22	77	5046	0.004270524390340005	0.17537653586999602	8.936245572609208	0	TTN, TPM1, COL3A1
Tachycardia	HP:0001649	4	22	147	5046	0.0033590332938990353	0.17537653586999602	6.241187384044527	0	CALM2, TTN, D6S1101, TPM1
Aortic root aneurysm	HP:0002616	3	22	70	5046	0.0032595013812031174	0.17537653586999602	9.829870129870129	0	COL1A1, TPM3, COL3A1
Atypical scarring of skin	HP:0000987	3	22	74	5046	0.0038166232394876366	0.17537653586999602	9.298525798525798	0	COL1A1, D6S1101, COL3A1
Abnormal heart valve morphology	HP:0001654	6	22	362	5046	0.003637607209545044	0.17537653586999602	3.8016072325464587	0	TTN, COL1A1, RAC1, TPM1, TPM3, COL3A1
Atrioventricular reentrant tachycardia	HP:0011717	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	TTN
Decreased circulating complement C7 concentration	HP:0033058	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	C7
Multiple prenatal fractures	HP:0005855	2	22	18	5046	0.002661692580485046	0.17537653586999602	25.484848484848484	0	COL1A1, TPM3
Diaminoaciduria	HP:0008339	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	ARG1
Antenatal onset	HP:0030674	5	22	249	5046	0.00370527205907065	0.17537653586999602	4.6056955093099665	0	KIDINS220, CNTNAP1, CALM2, RAC1, TPM1
Ventricular tachycardia	HP:0004756	3	22	67	5046	0.002876769000312237	0.17537653586999602	10.27001356852103	0	CALM2, TTN, TPM1
Carotid cavernous fistula	HP:0031157	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	COL3A1
Hyperpyrexia	HP:0033031	1	22	1	5046	0.004359889021006738	0.17537653586999602	229.36363636363635	0	D6S1101
Limited hip movement	HP:0008800	2	22	23	5046	0.004343687395777405	0.17537653586999602	19.944664031620555	0	TTN, D6S1101
