description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Cytoskeleton in muscle cells	hsa04820	6	36	232	8377	0.00041040690565467277	0.06402347728212895	6.017959770114943	0	TTN, COL1A1, TPM1, DAAM2, TPM3, COL3A1
Dilated cardiomyopathy	hsa05414	3	36	104	8377	0.009861283033718232	0.19229501915750552	6.712339743589743	0	TTN, TPM1, TPM3
Amoebiasis	hsa05146	3	36	102	8377	0.009352471409872418	0.19229501915750552	6.843954248366012	0	COL1A1, ARG1, COL3A1
Protein digestion and absorption	hsa04974	3	36	103	8377	0.009604891357753435	0.19229501915750552	6.777508090614886	0	COL15A1, COL1A1, COL3A1
Inflammatory mediator regulation of TRP channels	hsa04750	3	36	99	8377	0.00861890846409578	0.19229501915750552	7.051346801346801	0	PLA2G4B, CALM2, TRPV1
AGE-RAGE signaling pathway in diabetic complications	hsa04933	3	36	101	8377	0.009104010029768196	0.19229501915750552	6.911716171617162	0	COL1A1, RAC1, COL3A1
Diabetic cardiomyopathy	hsa05415	4	36	191	8377	0.008723285946345445	0.19229501915750552	4.873182082606166	0	COL1A1, RAC1, NDUFB4, COL3A1
Hypertrophic cardiomyopathy	hsa05410	3	36	99	8377	0.00861890846409578	0.19229501915750552	7.051346801346801	0	TTN, TPM1, TPM3
Neurotrophin signaling pathway	hsa04722	3	36	120	8377	0.014513051224763119	0.2515595545625607	5.817361111111111	0	KIDINS220, CALM2, RAC1
Platelet activation	hsa04611	3	36	125	8377	0.016182501964264073	0.25244703064251955	5.584666666666666	0	PLA2G4B, COL1A1, COL3A1
Ras signaling pathway	hsa04014	4	36	238	8377	0.01835009671796317	0.25286086120410095	3.910830999066293	0	PLA2G4B, CALM2, RASAL2, RAC1
Vascular smooth muscle contraction	hsa04270	3	36	134	8377	0.019450835477238537	0.25286086120410095	5.209577114427861	0	CALD1, PLA2G4B, CALM2
Adrenergic signaling in cardiomyocytes	hsa04261	3	36	153	8377	0.0274723577238627	0.3061205574944701	4.562636165577342	0	CALM2, TPM1, TPM3
VEGF signaling pathway	hsa04370	2	36	60	8377	0.027192600758658314	0.3061205574944701	7.756481481481481	0	PLA2G4B, RAC1
Fc epsilon RI signaling pathway	hsa04664	2	36	68	8377	0.034258278233664057	0.35628609363010616	6.843954248366012	0	PLA2G4B, RAC1
Human cytomegalovirus infection	hsa05163	3	36	224	8377	0.07064554525902858	0.35754658965045844	3.116443452380952	0	CALM2, CDK6, RAC1
Human immunodeficiency virus 1 infection	hsa05170	3	36	212	8377	0.06194806598398824	0.35754658965045844	3.2928459119496853	0	CALM2, CUL4A, RAC1
Rap1 signaling pathway	hsa04015	3	36	212	8377	0.06194806598398824	0.35754658965045844	3.2928459119496853	0	CALM2, BAIAP1, RAC1
Choline metabolism in cancer	hsa05231	2	36	99	8377	0.06719433355162517	0.35754658965045844	4.700897867564534	0	PLA2G4B, RAC1
GnRH signaling pathway	hsa04912	2	36	93	8377	0.06020457330578523	0.35754658965045844	5.0041816009557945	0	PLA2G4B, CALM2
Phosphatidylinositol signaling system	hsa04070	2	36	98	8377	0.06601099163066497	0.35754658965045844	4.748866213151927	0	CALM2, PIP5K2A
Regulation of actin cytoskeleton	hsa04810	3	36	230	8377	0.07519377943332035	0.35754658965045844	3.0351449275362317	0	PIP5K2A, RAC1, C7
Glycerophospholipid metabolism	hsa00564	2	36	99	8377	0.06719433355162517	0.35754658965045844	4.700897867564534	0	LCAT, PLA2G4B
Glycosphingolipid biosynthesis - globo and isoglobo series	hsa00603	1	36	16	8377	0.06664510874482954	0.35754658965045844	14.543402777777779	0	HEXA
Glioma	hsa05214	2	36	76	8377	0.04195767060573886	0.35754658965045844	6.1235380116959055	0	CALM2, CDK6
PI3K-Akt signaling pathway	hsa04151	4	36	361	8377	0.06759953812142526	0.35754658965045844	2.5783317943982764	0	BAIAP1, CDK6, COL1A1, RAC1
Cardiac muscle contraction	hsa04260	2	36	83	8377	0.049176279543829436	0.35754658965045844	5.607095046854083	0	TPM1, TPM3
Pancreatic cancer	hsa05212	2	36	77	8377	0.04296220955621729	0.35754658965045844	6.044011544011544	0	CDK6, RAC1
Fc gamma R-mediated phagocytosis	hsa04666	2	36	97	8377	0.06483489466024124	0.35754658965045844	4.797823596792669	0	PLA2G4B, RAC1
Kaposi sarcoma-associated herpesvirus infection	hsa05167	3	36	196	8377	0.051208260475717894	0.35754658965045844	3.5616496598639453	0	CALM2, CDK6, RAC1
