description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Tay-Sachs disease	272800	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	HEXA
Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1	619115	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	COL1A1
Norum disease	245900	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	LCAT
Dystonia 22, juvenile-onset	620453	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	BZRAP1
Ventriculomegaly and arthrogryposis	619501	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	KIDINS220
Arginase deficiency	207800	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	ARG1
Cataract 20 multiple types	116100	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	CRYGS
Tibial muscular dystrophy	600334	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TTN
Neurodevelopmental disorder with or without variable brain abnormalities; NEDBA	618443	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	MAPK8IP3
Infantile cortical hyperostosis	114000	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	COL1A1
Dilated cardiomyopathy 1Y	611878	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TPM1
Ehlers-Danlos syndrome, arthrochalasia type	130060	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	COL1A1
Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development	618124	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	MCM3AP
Congenital myopathy 4B, autosomal recessive	609284	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TPM3
Neuropathy, congenital hypomyelinating, 3	618186	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	CNTNAP1
Complement component 7 deficiency	610102	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	C7
Fish-eye disease	136120	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	LCAT
Dystonia 22, adult-onset	620456	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	BZRAP1
Osteogenesis imperfecta type I	166200	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	COL1A1
Intellectual disability, autosomal dominant 48	617751	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	RAC1
Lethal congenital contracture syndrome 7	616286	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	CNTNAP1
Autosomal recessive limb-girdle muscular dystrophy type 2J	608807	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TTN
Congenital myopathy 4A, autosomal dominant	255310	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TPM3
Leukodystrophy, hypomyelinating, 19, transient infantile	618688	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	KIAA0792
Dilated cardiomyopathy 1G	604145	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TTN
TCF12-related craniosynostosis	615314	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TCF12
Polymicrogyria with or without vascular-type Ehlers-Danlos syndrome	618343	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	COL3A1
Nephrotic syndrome, type 24	619263	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	DAAM2
Early-onset myopathy with fatal cardiomyopathy	611705	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TTN
Hypogonadotropic hypogonadism 26 with or without anosmia	619718	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TCF12
Spastic paraplegia, intellectual disability, nystagmus, and obesity	617296	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	KIDINS220
Microcephaly 12, primary, autosomal recessive	616080	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	CDK6
Myopathy, myofibrillar, 9, with early respiratory failure	603689	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TTN
Ehlers-Danlos syndrome, type 4	130050	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	COL3A1
Hypertrophic cardiomyopathy 9	613765	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TTN
Hypertrophic cardiomyopathy 3	115196	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	TPM1
Epidermolysis bullosa simplex 3, localized or generalized intermediate, with BP230 deficiency	615425	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	D6S1101
Hereditary sensory and autonomic neuropathy type 6	614653	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	D6S1101
Long QT syndrome 15	616249	1	22	1	4914	0.004477004477004477	0.004936184423363911	223.36363636363637	0	CALM2
Osteogenesis imperfecta with normal sclerae, dominant form	166220	1	22	2	4914	0.008934872561984308	0.009147607622983936	111.68181818181819	0	COL1A1
