description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Smooth Muscle Contraction	R-HSA-445355	4	45	45	10981	3.243343606177446e-05	0.013557176273821723	21.690864197530864	0	CALD1, CALM2, TPM1, TPM3
Assembly of collagen fibrils and other multimeric structures	R-HSA-2022090	4	45	61	10981	0.00010830018502941725	0.022634738671148204	16.001457194899817	0	COL15A1, COL1A1, D6S1101, COL3A1
Activation of RAC1 downstream of NMDARs	R-HSA-9619229	2	45	9	10981	0.000580472346496066	0.028779819312214842	54.227160493827164	0	CALM2, RAC1
RND3 GTPase cycle	R-HSA-9696264	3	45	42	10981	0.0006602538970603061	0.028779819312214842	17.43015873015873	0	RASAL2, D6S1101, NISCH
RHO GTPase cycle	R-HSA-9012999	8	45	449	10981	0.0004170467804481968	0.028779819312214842	4.347834694382579	0	KIDINS220, GEFT, RASAL2, RAC1, D6S1101, NISCH, ITSN2, TPM3
RND1 GTPase cycle	R-HSA-9696273	3	45	42	10981	0.0006602538970603061	0.028779819312214842	17.43015873015873	0	KIDINS220, RASAL2, D6S1101
Striated Muscle Contraction	R-HSA-390522	3	45	36	10981	0.000417755754913216	0.028779819312214842	20.335185185185185	0	TTN, TPM1, TPM3
Collagen formation	R-HSA-1474290	4	45	90	10981	0.00048635748639529126	0.028779819312214842	10.845432098765432	0	COL15A1, COL1A1, D6S1101, COL3A1
MET promotes cell motility	R-HSA-8875878	3	45	41	10981	0.0006148489300754015	0.028779819312214842	17.85528455284553	0	COL1A1, RAC1, COL3A1
RND2 GTPase cycle	R-HSA-9696270	3	45	43	10981	0.000707746064671261	0.028779819312214842	17.02480620155039	0	KIDINS220, D6S1101, NISCH
Collagen chain trimerization	R-HSA-8948216	3	45	44	10981	0.0007573636661109169	0.028779819312214842	16.637878787878787	0	COL15A1, COL1A1, COL3A1
Muscle contraction	R-HSA-397014	5	45	205	10981	0.001438100415725684	0.05009383114777799	5.951761517615176	0	CALD1, CALM2, TTN, TPM1, TPM3
Signaling by Rho GTPases	R-HSA-194315	9	45	704	10981	0.0019107094514585253	0.0614366577468972	3.1196022727272728	0	KIDINS220, CALM2, GEFT, RASAL2, RAC1, D6S1101, NISCH, ITSN2, TPM3
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	R-HSA-9716542	9	45	720	10981	0.0022300301003260457	0.06270878993291322	3.050277777777778	0	KIDINS220, CALM2, GEFT, RASAL2, RAC1, D6S1101, NISCH, ITSN2, TPM3
Collagen degradation	R-HSA-1442490	3	45	64	10981	0.0022503154282145893	0.06270878993291322	11.438541666666666	0	COL15A1, COL1A1, COL3A1
Scavenging by Class A Receptors	R-HSA-3000480	2	45	19	10981	0.0026863014685189336	0.06605141257887731	25.68654970760234	0	COL1A1, COL3A1
Collagen biosynthesis and modifying enzymes	R-HSA-1650814	3	45	67	10981	0.0025653605635392084	0.06605141257887731	10.92636815920398	0	COL15A1, COL1A1, COL3A1
Platelet activation, signaling and aggregation	R-HSA-76002	5	45	263	10981	0.004238782350623028	0.08131531165096584	4.639205745669624	0	CALM2, TTN, COL1A1, RAC1, ISLR
Transcriptional regulation of pluripotent stem cells	R-HSA-452723	2	45	24	10981	0.004279753244787675	0.08131531165096584	20.335185185185185	0	NR6A1, HIF3A
RHO GTPases activate PAKs	R-HSA-5627123	2	45	24	10981	0.004279753244787675	0.08131531165096584	20.335185185185185	0	CALM2, RAC1
Signaling by MET	R-HSA-6806834	3	45	79	10981	0.004092456154108707	0.08131531165096584	9.266666666666666	0	COL1A1, RAC1, COL3A1
Defective HEXA causes GM2G1	R-HSA-3656234	1	45	1	10981	0.00409798743283854	0.08131531165096584	244.02222222222224	0	HEXA
Signaling by Receptor Tyrosine Kinases	R-HSA-9006934	7	45	534	10981	0.0056179374934994235	0.0978457446784483	3.1987931751976695	0	KIDINS220, CALM2, TCF12, COL1A1, RAC1, NRG3, COL3A1
Syndecan interactions	R-HSA-3000170	2	45	27	10981	0.0054004627809383955	0.0978457446784483	18.075720164609052	0	COL1A1, COL3A1
VEGFR2 mediated vascular permeability	R-HSA-5218920	2	45	29	10981	0.006214328563092016	0.1039035735748985	16.829118773946362	0	CALM2, RAC1
MET activates PTK2 signaling	R-HSA-8874081	2	45	30	10981	0.006640947497551885	0.10676600207602646	16.268148148148146	0	COL1A1, COL3A1
RHO GTPases activate IQGAPs	R-HSA-5626467	2	45	32	10981	0.007533010945616031	0.11662216945435189	15.25138888888889	0	CALM2, RAC1
Diseases of cellular response to stress	R-HSA-9675132	1	45	3	10981	0.012244761192951654	0.13253517874367926	81.34074074074074	0	CDK6
Negative regulation of the PI3K/AKT network	R-HSA-199418	3	45	118	10981	0.012365722418668639	0.13253517874367926	6.203954802259887	0	PIP5K2A, RAC1, NRG3
GPVI-mediated activation cascade	R-HSA-114604	2	45	35	10981	0.008966549725611056	0.13253517874367926	13.944126984126985	0	COL1A1, RAC1
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	3	45	111	10981	0.010482043241927317	0.13253517874367926	6.595195195195195	0	PIP5K2A, RAC1, NRG3
