description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Striated muscle contraction pathway	WP383	3	37	38	8466	0.000583504156248243	0.10678126059342846	18.064011379800856	0	TTN, TPM1, TPM3
miR 509 3p alteration of YAP1 ECM axis	WP3967	2	37	18	8466	0.0027211043577036963	0.19324845955264217	25.423423423423426	0	COL1A1, COL3A1
Melanoma	WP4685	3	37	68	8466	0.0031680075336498717	0.19324845955264217	10.094594594594597	0	CALM2, CDK6, RAC1
IL19 signaling	WP5422	2	37	28	8466	0.006540644818389095	0.2982283378158736	16.343629343629345	0	COL1A1, RAC1
Ras signaling	WP4223	4	37	184	8466	0.008148315240870863	0.2982283378158736	4.974148061104583	0	PLA2G4B, CALM2, RASAL2, RAC1
Lipid particles composition	WP3601	1	37	10	8466	0.04287699198566052	0.30860164295569664	22.88108108108108	0	LCAT
Urotensin II mediated signaling	WP5158	2	37	69	8466	0.03629953770331004	0.30860164295569664	6.632197414806112	0	COL1A1, COL3A1
Glycosaminoglycan degradation	WP4815	1	37	17	8466	0.07182095293216997	0.30860164295569664	13.459459459459461	0	HEXA
Omega 3 omega 6 fatty acid synthesis	WP4723	1	37	15	8466	0.06363930699562155	0.30860164295569664	15.254054054054055	0	PLA2G4B
ROBO4 and VEGF signaling crosstalk	WP3943	1	37	6	8466	0.025945271364057824	0.30860164295569664	38.13513513513514	0	RAC1
Fatty acid transporters	WP5061	1	37	18	8466	0.07588564990713852	0.30860164295569664	12.711711711711713	0	FABP5
Mammary gland development pathway Embryonic development Stage 1 of 4 	WP2813	1	37	18	8466	0.07588564990713852	0.30860164295569664	12.711711711711713	0	NRG3
Acetaminophen in analgesia and antipyresis	WP5444	1	37	9	8466	0.03867110703357851	0.30860164295569664	25.423423423423426	0	TRPV1
Familial hyperlipidemia type 2	WP5109	1	37	16	8466	0.06773886274537452	0.30860164295569664	14.300675675675677	0	LCAT
Bone morphogenic protein signaling and regulation	WP1425	1	37	12	8466	0.05123511846551152	0.30860164295569664	19.06756756756757	0	TOB2
Cells and molecules involved in local acute inflammatory response 	WP4493	1	37	17	8466	0.07182095293216997	0.30860164295569664	13.459459459459461	0	C7
RalA downstream regulated genes	WP2290	1	37	12	8466	0.05123511846551152	0.30860164295569664	19.06756756756757	0	RAC1
Familial hyperlipidemia type 1	WP5108	1	37	18	8466	0.07588564990713852	0.30860164295569664	12.711711711711713	0	LCAT
Netrin UNC5B signaling	WP4747	2	37	52	8466	0.021487349493687722	0.30860164295569664	8.8004158004158	0	COL1A1, RAC1
Urea cycle and related diseases	WP4571	1	37	9	8466	0.03867110703357851	0.30860164295569664	25.423423423423426	0	ARG1
Serotonin and anxiety	WP3947	1	37	17	8466	0.07182095293216997	0.30860164295569664	13.459459459459461	0	TRPV1
Metabolic pathway of LDL HDL and TG including diseases	WP4522	1	37	17	8466	0.07182095293216997	0.30860164295569664	13.459459459459461	0	LCAT
Ganglio series sphingolipid metabolism	WP5299	1	37	13	8466	0.05538750793993499	0.30860164295569664	17.6008316008316	0	HEXA
Neural crest cell migration in cancer	WP4565	2	37	43	8466	0.014996461592316717	0.30860164295569664	10.642363293526085	0	KIDINS220, RAC1
Familial hyperlipidemia type 3	WP5110	1	37	13	8466	0.05538750793993499	0.30860164295569664	17.6008316008316	0	LCAT
Osteoarthritic chondrocyte hypertrophy	WP5373	2	37	50	8466	0.01995916657766659	0.30860164295569664	9.152432432432432	0	COL1A1, COL3A1
