description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
translation	GO:0006412	88	1417	310	18229	9.97391849664072e-28	4.390518922221245e-24	3.651858765679423	0	COPS5, MRPS14, RPS27A, PET112L, DARS2, EIF1B, MRPS7, RPLP2, MRPS16, RPL36AL, EIF1, RPS12, MRPL23, EIF4A2, TSFM, EIF4B, HBS1L, RPL13A, MRPS33, EIF3S1, RPS9, MRPL17, MRPS15, C15orf15, MRPS11, EIF2A, RPL8, EIF3S3, FARS2, RPS16, RPL28, RPL15, RPL3L, PAIP2, RPL37A, EIF2B3, EIF1AX, MRPL33, MRPL9, NARS2, PABPC4, EIF3S6, AARSD1, MRPL1, MRPL10, MRPL14, CARS2, MRPL3, MRPS23, MRPL51, MRPL18, CPEB4, MTIF2, MRPL13, MRPL12, MRPL21, IARS, RPL26, MRPL24, EIF2S2, RPL19, MRPS18B, MRPL37, EEF2, MRPL27, RPS24, MRPL35, RMND1, EIF5, RPL36A, EEF1A2, RPL18, MRPL30, EEF1E1, MRPL19, MRRF, GSPT1, RPL39L, MRPS30, MRPL16, LARS2, EIF3S12, RARS, EIF4A1, RPS27L, RPS5, MRPL11, MRPL4
proton motive force-driven mitochondrial ATP synthesis	GO:0042776	35	1417	55	18229	1.0929331124575294e-25	2.4055457805190224e-22	8.186501571822673	0	NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, NDUFAB1, NDUFS5, ATP5C1, NDUFA13, NDUFS8, SDHD, NDUFC2, NDUFA11, NDUFA3, NDUFV3, NDUFV1, NDUFA2, NDUFS6, ATP5A1, ATP5B, NDUFS4, NDUFS2, NDUFC1, ATP5H, ATP5L, ATP5J2, ATP5O, NDUFB5, ATP5J, NDUFA1, NDUFB1, NDUFB8, ATP5F1
mitochondrial translation	GO:0032543	44	1417	95	18229	4.130584910414959e-24	6.06094492521555e-21	5.958295880845374	0	MRPS14, PET112L, MRPS7, MRPS16, MRPL23, MRPS31, MRPL46, MRPS28, MRPS33, MRPL17, MRPL38, MRPL54, MRPS15, MRPS11, MRPL40, OXA1L, MRPL33, MRPL9, MRPL50, MRPL1, MRPL10, MRPL14, MRPL3, MRPS23, MRPL51, MRPL18, MRPL13, MRPL12, MRPL21, MRPL24, MRPS18B, MRPL37, MRPS10, MRPS27, MRPL27, MRPL35, MRPS35, MRPL30, MRPL19, MRPS30, MRPL16, LARS2, MRPL11, MRPL4
aerobic respiration	GO:0009060	33	1417	61	18229	3.8894253836489565e-21	4.280312634705677e-18	6.959484942790703	0	ADSL, NDUFB2, NDUFA12, MDH2, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, NDUFAB1, NDUFS5, NDUFA13, NDUFS8, NDUFC2, OXA1L, NDUFA11, NDUFA3, NDUFV3, FXN, SIRT3, NDUFV1, NDUFA2, NDUFS6, MTFR1, MFN2, NDUFS4, NDUFS2, NDUFC1, NDUFB5, NDUFA1, NDUFB1, NDUFB8, UQCRC2
mitochondrial respiratory chain complex I assembly	GO:0032981	31	1417	58	18229	9.933724434159946e-20	8.745650991834416e-17	6.875854768452048	0	NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, C6orf66, NDUFAB1, NDUFS5, NDUFA13, NDUFS8, NDUFAF1, NDUFC2, OXA1L, TMEM186, NDUFA11, NDUFA3, NDUFA2, NDUFS4, TMEM126B, NDUFS2, NDUFC1, C2orf56, TMEM126A, NDUFB5, C18orf55, NDUFA1, NDUFB1, AIFM1, NDUFB8
proton transmembrane transport	GO:1902600	51	1417	171	18229	1.3763397044225518e-17	1.0097745631446788e-14	3.8367814384231576	0	NDUFB2, NDUFA12, NNT, NDUFB9, NDUFA6, NDUFS3, GHITM, ATP6V1E1, NDUFS1, NDUFS5, COX7A1, ATP5C1, ATP6V1A, NDUFS8, ATP6V1B2, CYC1, NDUFC2, ATP6V0D1, NDUFA3, NDUFV3, NDUFV1, COX8A, ATP1B1, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, ATP5A1, COX7B, CYB5A, ATP5B, ATP5G3, NDUFS4, SLC25A12, NDUFS2, NDUFC1, ATP5H, ATP5L, ATP6V1G1, ATP5J2, ATP5O, NDUFB5, SLC25A4, ATP5J, NDUFA1, COX5A, NDUFB1, COX4I1, NDUFB8, ATP5F1, SLC47A1
mitochondrial electron transport, NADH to ubiquinone	GO:0006120	23	1417	39	18229	2.879505789510352e-16	1.8107977836320814e-13	7.58675786692724	0	NDUFB2, NDUFB9, NDUFA6, NDUFS3, NDUFS1, NDUFAB1, NDUFS5, DLD, NDUFS8, NDUFAF1, NDUFC2, NDUFA3, NDUFV3, NDUFV1, NDUFA2, NDUFS6, NDUFS4, NDUFS2, NDUFC1, NDUFB5, NDUFA1, NDUFB1, NDUFB8
tricarboxylic acid cycle	GO:0006099	18	1417	34	18229	6.402305139543414e-12	3.5228684030337636e-09	6.810618954709619	0	MDH2, NNT, IDH2, DLST, SDHD, MRPS36, C6orf57, FH, IDH3A, PDHB, CS, PDHA1, DLAT, SUCLG1, MDH1, SUCLA2, IDH3B, ACO2
proton motive force-driven ATP synthesis	GO:0015986	14	1417	22	18229	4.882089130225593e-11	2.3878840390281177e-08	8.186501571822673	0	ATP5C1, ATP6V1A, USMG5, C14orf2, ATP5G1, ATP5A1, ATP5B, ATP5G3, ATP5H, ATP5L, ATP5J2, ATP5O, ATP5J, ATP5F1
cellular respiration	GO:0045333	16	1417	38	18229	7.023981125593317e-09	3.091956491486178e-06	5.416632618950341	0	NDUFS1, CYCS, COX6C, CYC1, CHCHD5, COQ10A, COX8A, C6orf57, COX7B, NDUFS4, UQCRQ, UQCR, COX5A, COX4I1, PPARGC1A, UQCRC2
