description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
protein binding	GO:0005515	1257	1447	13684	18334	1.269253880600665e-32	1.9419584373190178e-29	1.163887243047586	0	VDAC1, NDRG2, LANCL2, APOD, TNNI3, MYST1, EHD1, UBE2H, MYPN, RRM2B, COPS3, RELA, LANCL1, HIST2H2BE, PCGF5, AK3, HAGH, MCEE, ZNHIT1, POLR3K, C11orf60, EPDR1, NDUFA12, KCTD9, SPCS3, PRDX1, PRDX2, COPS5, TAF7, CTSL1, RDH14, PSME1, RGS6, APOA1, ZNF177, NAT10, ZNF291, ZNF294, MBD4, CKMT2, PRDX5, RBP7, WDR26, TUBB2C, MRPS14, HLA-DRB1, RPS27A, CD81, C4orf27, TTC9C, TMEM5, ARL8B, PET112L, CSRP3, PIN1, DARS2, EIF1B, CCT5, ASB12, SMYD2, C11orf54, MRFAP1, VIL2, NDUFB9, C11orf74, CTNNA1, NDUFB11, SH3BGR, RRAD, C2orf25, CLPX, CIAO1, NR1D2, ZNF426, STK38L, TIMM23, ATPAF1, DNAJC1, C2orf7, IMP4, LAPTM4B, NBN, RSRC2, DOLK, POLR2G, GMEB1, CTGF, HIST1H3C, LBH, PSMB3, C20orf111, CDA11, PFDN1, PSMB5, HMGA1, EBNA1BP2, PA2G4, NDUFS3, MRFAP1L1, POLR1E, ARMCX1, LIN7B, C11orf67, TTRAP, HADHB, PREP, TMEM140, WWP1, RPP30, RPUSD3, YPEL5, ALG2, ASMTL, FEN1, ACOT8, RHEB, UBXD4, BUD31, RPP14, TNNI3K, ANKMY2, CTNNAL1, CLPP, SERF1A, VPS28, ARIH1, IMPA1, NOSIP, PDGFC, RPLP2, ANAPC10, SRI, PCBD2, SUPT4H1, PPP5C, ZADH1, PSMD10, POLR3GL, RPUSD4, MRPS16, SPIN2A, BAMBI, SH2D1A, ING4, PFDN2, ZC3H14, VTA1, TTC15, METAP1, TTC19, PCBD1, XPO1, H3F3A, LMOD3, C1orf50, GHITM, PDPN, LAMP2, LSM8, WDR12, ZNF330, GABARAPL2, MYL6, RPL36AL, ATP6V1E1, TMEM97, DC50, WRB, KLF11, EIF1, HLA-G, RPS12, HSP90B1, SGCG, C11orf59, MRPL23, TUSC4, MYOM3, EIF4A2, SRP14, TNPO3, PSMA1, NSMCE1, CHMP4A, KIAA1737, FXC1, NDUFS1, C6orf66, SCO1, MRPS31, PDE6D, CSNK1E, CLTC, FGF1, TSFM, RAB21, INHBA, CAMK2D, EIF4B, PTTG1IP, EID1, CAV3, SORBS1, NFU1, GOLGA4, CD74, IER3IP1, TMEM85, NDUFAB1, UNC45B, ORC3L, CYCS, HBS1L, C11orf73, ZMAT2, DPM2, POLE4, LTBP1, PRKAR1A, MT3, MLX, NDUFS5, CNBP, ALDH4A1, IGBP1, TFG, CCDC44, IKBKG, LRPAP1, IRF6, THOC7, CNIH4, C14orf116, VAMP3, PTGDS, GSTM3, RNF2, PRKAB1, VLDLR, TACR1, PPAP2B, IWS1, NEDD4L, PODXL, CDK5, RIT1, C6orf211, CCDC51, COX7A1, BRE, CCT4, FAM18B, SSR3, GPS1, GLRX5, HTATSF1, CAV2, PDIA6, PSEN1, BLOC1S2, HIST1H2BD, RRS1, ABHD5, EIF3S1, F3, RPS9, PMP22, C12orf11, TXNL5, CCDC55, UBC, PAPOLA, XBP1, SMCR7, SS18, HDLBP, LSM4, FABP3, ARMC10, MRPL17, KCNN2, ASCC1, KCNA4, MITF, BIVM, ELP4, JAK2, POLR2K, KLHL12, FAM118B, C19orf2, KEAP1, ACTA1, FAM96B, WIPI1, DLD, DDO, TNFAIP8, TNFRSF12A, HRSP12, AMAC, CCDC53, HRASLS3, FHL1, CAST, ZMAT4, DLST, SETD4, RARRES3, HECTD1, DSCR2, CCT7, PGK1, FGF14, MRPL38, BDH2, NENF, TNFSF5IP1, ATP5C1, EXOSC7, DMD, MRPL54, AAK1, TMED1, VTI1B, C20orf141, ATP6V1A, TMED9, MRPS15, GGA2, MPG, YWHAQ, RPS6KC1, APOBEC3B, BZW1, PSENEN, TMEM106C, CALM2, C14orf4, HADHA, C15orf15, KRT8, LSM10, PHPT1, TMEM9B, RAB7L1, C15orf41, C40, FAHD1, PEBP1, UROD, PCCB, TMF1, STMN2, ERGIC2, BRP44, COX6C, SNRPC, CBARA1, MRPS11, RBMS1, DGAT1, MLF1, NDUFA13, SNTA1, EGF, FBXO9, NDUFS8, HSP90AA1, EIF2A, RBKS, MRPL40, BEX1, ETFDH, RPL8, SQSTM1, GPD1L, SFXN1, CD58, CTNNA3, ASXL2, NT5DC1, XPOT, RTCD1, TRAF3IP2, C3orf30, EIF3S3, RBX1, SAMM50, MYOM2, GRAMD3, SDHD, ATP6V1B2, C20orf39, C5orf32, PDLIM3, CAB39, CLIP1, SNRPA, MAT2B, SETDB2, RAB7A, CKS1B, HHATL, RBM15B, CASQ2, AKR1C3, PAFAH1B2, CACYBP, CYC1, CCDC112, CAMK2B, ERCC1, KLHL24, PPP1R16A, NDUFAF1, FARS2, TCEB2, RPS16, EDF1, PFKM, TMSB4X, RBM24, HMBS, EMD, RPL28, TMEM47, PIK4CB, AP2M1, YIPF4, DALRD3, NSMCE4A, C6orf79, ACP1, RPL15, CHCHD5, NFE2L1, GPR50, ZFP91, PQBP1, MPDZ, PSMA5, BMPR1A, C14orf147, CNOT8, GSDMDC1, C14orf159, PPP1CA, UBB, GPKOW, EIF4A3, PSMC6, DSCR3, NDUFC2, HTRA2, ZNF614, LMBRD1, ATP6V0D1, PDAP1, FBXO21, PAIP2, RPL37A, EIF2B3, SIX3, EIF1AX, SLC4A1AP, OXA1L, TAX1BP3, HSD17B8, ISCA2, C16orf33, C20orf116, CDH13, PRPF39, ZFYVE1, CBX3, HSF2, RFC4, UBE2E3, ETFA, PPP1R12B, GLO1, TMEM186, CD55, SYAP1, LYPD1, MARK1, PARL, ACSS2, SLC41A1, SEC11C, TIMM10, CPT1B, GAMT, MMD, PHKB, NRD1, SEC61G, NR2C1, TCEA1, LNX2, C20orf52, ALS2CR2, CD36, ASNA1, MAPRE1, FCER1G, ITGB1BP3, NAT13, HIST2H2AA, CIRH1A, MTX2, C16orf61, SPAG7, C20orf24, C14orf2, IMMP2L, GFER, FARP1, ZNF607, RWDD1, HLA-DRA, PSMD3, MRPL9, FBXO32, PDSS2, PIGF, RDBP, PSAP, COL4A6, HNRPA2B1, NDUFA11, NDUFA3, PGM1, PEX1, NHLRC1, CDKN2B, PABPC4, USP10, NUDT22, ARHGEF6, C22orf32, NDUFV3, AIP, ACY1, VAPA, ARPC2, EIF3S6, C2orf40, SCHIP1, PKP2, AARSD1, ARMC1, ARF6, CX3CR1, MB, NUDT21, MRPL1, DDX1, GSTA4, TCAP, ZDHHC16, MIPEP, FXN, FAM110B, MRPL10, SVIL, TMEM69, SLMAP, DHX30, SCARB2, MYST3, LSM7, LYPLAL1, PSME2, BHLHB2, FAM80A, HCST, MSH2, TMEM59, C7orf30, RAB1A, SIRT3, PRUNE, HLA-DPB1, C6orf142, PCNP, TRPC4AP, NDUFV1, TPRKB, UNC50, NCKAP1, MAGED1, ZNF25, MOCS2, MNAT1, C4orf20, PDLIM1, COX8A, CUL4A, KIAA0090, SERINC3, ZNF207, CFHR5, ARF4, RINT1, ATP1B1, ZFAND5, PACSIN3, FXR1, TNNC2, GTF2E1, UCHL3, HMOX2, GABARAPL1, LPL, MRPS23, LDHB, MRPL51, HNRPC, ORMDL2, PGAM1, FKBP2, SFRS3, MRPL18, UBE2D1, RNF14, VBP1, UQCRFS1, ACE2, AKT1, ATP5G1, SET, SLC19A2, TRIM54, PSMA2, KPNB1, ANXA5, TUBGCP2, RHOT1, PHYH, PRDX4, MAPT, SERPINB1, PEX10, CADM1, CPEB4, INHA, ALDOA, MAGEH1, DHTKD1, ATP5A1, CYBA, APEH, COMMD3, VPS26B, C6orf57, ELF1, MRPL13, GPR177, TTN, MRPL12, HMGN2, AFG3L2, CAPRIN1, PTPN2, FECH, ANKRD2, LASS2, MAOB, GPX3, C9orf46, RPN2, COX7B, DTNBP1, PRKAG2, ACADVL, RER1, CYB5A, SAR1A, ITM2B, ECHS1, C10orf76, IARS, USP25, FDFT1, TGOLN2, NGLY1, SERBP1, RPL26, TNS, POLR2E, USP47, NAP1L4, GLE1L, SLC16A7, PSMB1, C1orf144, C1orf121, SAMD4, CDC123, COQ6, ZC3H15, EIF4EBP3, PACRG, C1orf142, MKRN1, HRC, RUVBL1, INMT, MED31, MYBPC3, FNTA, PDCD5, EIF2S2, ACOT2, RNPS1, SCN4A, STK25, CTNNBL1, TAGLN3, COMMD10, ARL3, SPCS2, GSTO2, ODC1, RPL19, MTFR1, SSBP1, DET1, DUT, ATPAF2, RAD17, RFXANK, CIB1, RAC1, SLBP, MRPS18B, TMEM111, ATP5B, NUP153, ASB8, SFRP1, RBM12, SPG21, ECH1, DST, SYNCRIP, SNW1, ATP5G3, TRIM63, ACYP2, NT5C2, TUBA8, CPT2, DERL2, MTCH2, CALU, NUP43, HINT1, UBE2R2, RAB2, PSMA3, TMED10, MFN2, WDFY3, HSPB7, S100A1, MAPKAP1, SNX9, KIAA1429, C1GALT1C1, CCDC90B, PRMT1, UBE2N, PDCD2L, AKAP13, HABP4, ASAH1, HDHD1A, MRPS27, NIF3L1, FH, GNB5, VPS26A, ETFB, EEF2, RYR2, IDH3A, POPDC3, MRPL27, UBE2I, INSIG2, C9orf24, NIPSNAP3A, EPS15L1, ZBTB16, PDK2, FAM96A, TRIM55, CUTA, HTR1A, PYGM, KIF9, LACTB, C12orf39, B3GALT2, CHCHD2, HNRPAB, SLC4A2, MRPL35, ANGPTL2, C18orf10, NFKB1, MCM3, CD63, BLNK, MRS2L, RBM39, NGFRAP1, FBXO22, NEDL2, RMND1, C14orf94, FEZ2, CRADD, HAT1, TPM1, BTF3, C1QA, EIF5, TRIM26, TNFRSF9, SMAP1, ETV6, PGRMC2, CASQ1, DPP8, EI24, SLC38A1, PPIL1, SNX3, STX7, MRPS35, RPL36A, EEF1A2, CANX, FBXO25, KATNA1, POLR3C, ZNF639, DNAL1, NRBP1, NDUFS4, PARP9, HBXIP, NXT1, CNN1, ZNRF4, IFRD2, YIPF5, DRG1, GBAS, CCNB1IP1, TRAPPC4, SLC25A12, FEM1C, TMEM126B, SARM1, APBB1, METTL5, HAX1, TBC1D7, ECHDC1, HLA-DRB3, POLR2L, MYH7, LYAR, BNIP2, PPP2R1A, NDUFS2, CDC37L1, APIP, UBL3, CNOT7, RPL18, PPP3CC, SLC40A1, RNF141, EGLN3, HTATIP, BTBD1, PDHB, UMPS, CUEDC2, DSG2, ATP5H, FLOT1, GTF2B, H2AFY, RNF113A, AAMP, MYL6B, BCKDHA, ITGB1BP2, ADAM9, TSR2, C14orf102, PXMP2, CSNK2A1, TMEM141, CCDC25, PSMD13, SHMT2, B3GNT8, RABL3, NFYC, ZNF32, ORMDL1, QKI, C13orf24, KIAA0372, RAB9A, POLR2I, HEBP2, IMPA2, XRCC6, PTP4A3, C2orf56, COMMD7, MYL7, DSTN, ESD, CCNDBP1, SIAH2, PDHA1, RNF103, PSMD2, CLPB, APPL1, DTNA, MTMR4, EEF1E1, MOSPD1, DLAT, MAD2L2, NCBP2, ILVBL, DBI, SLCO3A1, TIPRL, UBE2T, C2orf33, SUZ12, KRIT1, SUCLG1, SOD2, ALAS1, FAM58A, KIAA0859, INPP5A, TCEAL8, WEE1, DUSP26, BPHL, GPX1, MRPL19, ZFYVE21, CSRP2, JAGN1, ATP5L, METTL2B, SLC25A20, BCAP29, GTPBP8, B2M, LDHA, CCPG1, BAG3, APOO, ATP6V1G1, HMGB1, PSMA7, CKM, HBP1, CSTF1, MLLT11, VAMP4, MPHOSPH10, IGFBP2, MRRF, YKT6, LZIC, ARD1A, FBXW11, GATA6, POLR1B, HSPA8, C6orf203, FYCO1, C14orf179, GSPT1, DNTTIP2, VSNL1, HK1, UBE2D3, EPM2AIP1, PRRG1, DDX46, GPI, TMEM70, POSTN, CKS2, MAPK1, VPS29, GSTP1, UBE3A, MKRN2, HSPA9, PPAP2A, SLC1A2, RPL39L, SRP68, BAG1, PLCL2, TRIM32, ZMYND12, NCAM1, C16orf14, ALCAM, RNASEH2C, C1orf77, AHSA1, FAM20B, RRAGD, ANK1, ATP5O, SOD1, AKR1B1, NDN, CREBL2, CUL2, KIAA1279, ZNF576, NEDD8, DCTN3, IMMT, INTS6, NDUFB5, SFTPB, NMT2, GTF2A2, PCCA, HSPA14, EMP2, CFL2, PRKAG1, PEX11B, MDH1, TRAP1, SPCS1, RIOK2, APPL2, OBFC1, ZNF304, UBE2D4, SYS1, PPIE, SLC25A4, SORBS2, C18orf55, TACC2, DGCR14, SKP1A, ATP5J, WBSCR16, TCP1, NR0B2, PPP2R5E, CCDC47, CSE1L, CHMP2B, DMRT3, CRYM, CLIP4, SUCLA2, PREI3, SEPHS1, EIF3S12, NCOA4, HAND1, AK2, TRA2A, TDG, DDOST, BZW2, ALKBH3, DAAM1, ALS2, COX5A, C3orf37, PTPLA, IFI30, C14orf32, GSTT1, TMEM14B, ACOT7, PIGS, ASH2L, WDR35, PXMP3, RCHY1, MRTO4, MKI67IP, SIL1, NPPB, ANKRD17, C18orf1, ZDHHC4, DKK4, ANXA7, TCEB1, C10orf84, MYOM1, CPNE1, DNAJA3, MDN1, YY1, TMEM93, CDIPT, IFNAR1, CGNL1, PMPCA, TM7SF2, UBAC2, DUSP12, INADL, ARMCX3, DDX19B, PRDX3, HSPB8, RNASEH1, DUSP3, FBXO6, C10orf104, RARS, ISOC1, PPHLN1, FEM1A, GRPEL1, C20orf4, AIFM1, SAP18, C12orf10, UEVLD, SSU72, SF3B5, COMMD1, PPP2R5C, IDH3B, SBDS, RHOD, PCBP1, DHRS7, PAICS, UTP11L, FGF12, DMN, KIAA0776, NUP98, AKAP6, SRPX, EIF4A1, NHLRC2, ATXN2, PLN, FASTKD5, CRSP8, PSMB6, ST8SIA5, COX4I1, POLA1, RWDD3, PPARGC1A, MYOZ2, DSCR1, PDK4, PSMD1, C14orf112, ACAA2, SPTBN1, HSD17B10, AKTIP, DMKN, ATP5F1, RPS27L, TIAL1, XAGE3, OPA1, UQCRC2, DERL1, PRPF38A, MAP1LC3B, INTS4, TMED7, RPS5, CCNY, DAG1, KPNA4, CRYAB, PIK3R1, SS18L2, E2IG2, MCM4, TRIP11, PSMD12, KIAA0409, PSMC2, PPP2R2A, MAD2L1BP, SSBP2, TIMM13, DYRK4, TMEM66, ACTN2, MRPL11, SENP8, PPP2R3C, LNPEP, NPC2, PPP1R8, MRPL4, ASPH, NSL1, ATPBD1C, C2orf49, C21orf70, PPP1R3C, KLHL7, CETN2, CREM, MTHFD2, C1orf51, WDR32, MLPH, SLC47A1, INSL3, ABHD10, CCDC21, SMAD2, THUMPD3, ANKRD25, BRP44L, NF2, PARK7, PPM1A, XRCC6BP1
RNA binding	GO:0003723	233	1447	1530	18334	4.736132905006112e-24	3.623141672329676e-21	1.9295373343993205	0	CUGBP2, DDX50, MDH2, PRDX1, FNDC3A, NAT10, MRPS14, RPS27A, EIF1B, VIL2, CTNNA1, MRPS7, RSRC2, POLR2G, SRPR, HMGA1, EBNA1BP2, PA2G4, HADHB, RPP30, RPUSD3, RPP14, NOSIP, PPP5C, RPUSD4, ZC3H14, XPO1, LSM8, DC50, PRPF38B, EIF1, RPS12, HSP90B1, MRPL23, EIF4A2, SRP14, MRPS31, CSNK1E, CLTC, TSFM, EIF4B, CNBP, RPL13A, THOC7, CCT4, HTATSF1, MRPS28, RRS1, RPS9, CCDC55, UBC, PAPOLA, HDLBP, LSM4, ASCC1, HRSP12, CAST, ATP5C1, EXOSC7, MRPL54, MRPS15, APOBEC3B, BZW1, LSM10, PEBP1, SNRPC, MRPS11, RBMS1, HSP90AA1, MRPL40, RPL8, RTCD1, EIF3S3, SNRPA, RBM15B, RPS16, EDF1, TMSB4X, RBM24, RPL28, RPL15, CNOT8, GPKOW, EIF4A3, RPL3L, PDAP1, RPL37A, EIF1AX, DUSP11, CRYZ, MAPRE1, CIRH1A, C1orf57, MRPL9, RDBP, HNRPA2B1, PABPC4, TST, USP10, NDUFV3, EIF3S6, NUDT21, MRPL1, DDX1, MRPL10, DHX30, LSM7, CSTB, MRPL14, UNC50, ZNF207, MRPL3, FXR1, MRPS23, HNRPC, SFRS3, MRPL18, KPNB1, MAPT, CPEB4, MTIF2, ALDOA, ATP5A1, APEH, MRPL13, MRPL12, HMGN2, CAPRIN1, PUS1, MRPL21, SERBP1, RPL26, MRPL24, TNS, NAP1L4, SAMD4, ZC3H15, MKRN1, EIF2S2, RNPS1, RPL19, SSBP1, DUT, SLBP, RBM12, SYNCRIP, SNW1, MRPL37, KIAA1429, PRMT1, UBE2N, HABP4, EEF2, MRPL27, UBE2I, RPS24, HNRPAB, RBM39, BTF3, EIF5, MRPS35, RPL36A, CANX, C6orf153, LYAR, CNOT7, RPL18, CS, QKI, ADK, XRCC6, NCBP2, SUZ12, SUCLG1, HMGB1, THOC3, HBP1, CSTF1, MPHOSPH10, HSPA8, C6orf203, GSPT1, DNTTIP2, DDX46, FAM120C, MKRN2, HSPA9, SRP68, MRPS30, TRIM32, C1orf77, IMMT, TRAP1, PPIE, SORBS2, WBSCR16, TCP1, CCDC47, EIF3S12, TRA2A, GOT2, MRTO4, MKI67IP, ANKRD17, ANXA7, YY1, DDX19B, RNASEH1, PPHLN1, SAP18, SF3B5, SBDS, PCBP1, UTP11L, NUP98, EIF4A1, ATXN2, FASTKD5, PPARGC1A, ACAA2, SPTBN1, HSD17B10, RPS27L, TIAL1, TRUB2, PRPF38A, RPS5, KIAA0409, MRPL11, PPP1R8, MRPL4, THUMPD3, PARK7
structural constituent of ribosome	GO:0003735	56	1447	170	18334	3.650503336669691e-21	1.8617567017015422e-18	4.173763161104111	0	MRPS14, RPS27A, MRPS7, RPLP2, MRPS16, RPL36AL, RPS12, MRPL23, MRPS31, MRPL46, RPL13A, MRPS33, RPS9, MRPL17, MRPL54, MRPS15, C15orf15, MRPS11, RPL8, RPS16, RPL28, RPL15, RPL3L, RPL37A, MRPL33, MRPL9, MRPL1, MRPL10, MRPL14, MRPL3, MRPS23, MRPL51, MRPL18, MRPL13, MRPL12, MRPL21, RPL26, MRPL24, RPL19, MRPS18B, MRPL37, MRPL27, RPS24, MRPL35, MRPS35, RPL36A, RPL18, MRPL30, MRPL19, RPL39L, MRPS30, MRPL16, RPS27L, RPS5, MRPL11, MRPL4
NADH dehydrogenase (ubiquinone) activity	GO:0008137	21	1447	34	18334	2.0648392599511048e-15	7.898010169312976e-13	7.825805927070206	0	NDUFB2, NDUFA12, NDUFB9, NDUFA6, NDUFS3, NDUFS1, NDUFS5, NDUFS8, NDUFC2, NDUFA3, NDUFV3, NDUFV1, NDUFA2, NDUFS6, NDUFS4, NDUFS2, NDUFC1, NDUFB5, NDUFA1, NDUFB1, NDUFB8
electron transfer activity	GO:0009055	22	1447	59	18334	2.4358271399540233e-10	7.45363104825931e-08	4.724538202944725	0	GSR, NDUFS3, ADH5, NDUFS1, CYCS, ALDH4A1, ETFDH, SDHD, CYC1, ETFA, DHRS3, NDUFS6, CYBA, MAOB, ETFB, NDUFS2, QDPR, AKR1B1, UQCR, COX5A, IDH3B, ASPH
structural constituent of muscle	GO:0008307	17	1447	42	18334	6.185843363684668e-09	1.5773900577395904e-06	5.128475993023333	0	CSRP3, MYL6, DMD, MYOM2, TCAP, TTN, ANKRD2, MYBPC3, TPM1, MYL6B, CSRP2, SORBS2, MYOM1, DMN, DAG1, ACTN2, ASPH
proton-transporting ATP synthase activity, rotational mechanism	GO:0046933	10	1447	16	18334	4.6853387229098745e-08	1.024081178007444e-05	7.918970283344851	0	ATP5C1, ATP6V1A, ATP5A1, ATP5B, ATP5H, ATP5L, ATP5J2, ATP5O, ATP5J, ATP5F1
oxidoreductase activity	GO:0016491	65	1447	440	18334	6.39730706936313e-07	0.00012234849770156986	1.871756612426965	0	CLIC6, GSR, RRM2B, MDH2, SCCPDH, RDH14, NNT, NDUFS3, ADH5, ZADH1, NDUFS1, IDH2, ALDH4A1, COX7A1, DLD, DDO, BDH2, HADHA, ALDH1B1, NDUFS8, ETFDH, GPD1L, AKR1C3, DHRS4, HSD17B8, CRYZ, ETFA, GFER, MB, FXN, NDUFV1, DHRS7B, DHRS3, HMOX2, LDHB, UQCRFS1, DHTKD1, CYBA, MAOB, ACADVL, HADH, COQ6, GSTO2, IDH3A, NDUFS2, PDHB, BCKDHA, DECR1, PDHA1, PXDNL, SOD2, LDHA, QDPR, SOD1, AKR1B1, MDH1, CRYM, SORD, IFI30, TM7SF2, AIFM1, UEVLD, DHRS7, HSD17B10, MTHFD2
unfolded protein binding	GO:0051082	27	1447	122	18334	7.486597954554204e-07	0.00012727216522742148	2.8040943954139146	0	TUBB2C, CCT5, CLPX, PFDN1, PFDN2, HSP90B1, FXC1, CCT4, HSPB6, CCT7, HSP90AA1, NDUFAF1, HTRA2, AIP, VBP1, AFG3L2, NAP1L4, CANX, CDC37L1, HSPA8, HSPA9, TRAP1, TCP1, SIL1, DNAJA3, GRPEL1, CRYAB
transferase activity	GO:0016740	84	1447	637	18334	2.0493719188348698e-06	0.00031355390358173504	1.6708157081342982	0	UBE2H, LANCL1, ZNF294, TMEM5, WWP1, SMS, SEMACAP3, ARIH1, NOSIP, NSMCE1, PIGO, GSTM3, RNF2, NEDD4L, LIAS, ABHD5, PAPOLA, HRASLS3, DLST, RARRES3, HECTD1, C14orf4, HADHA, CASD1, TRAF3IP2, RBX1, MAT2B, HMBS, ZFP91, UBE2E3, PDSS2, NHLRC1, TST, GSTA4, SIRT3, MOCS2, PTDSS1, UBE2D1, RNF14, PEX10, LASS2, FDFT1, HADH, MKRN1, GSTM1, GSTO2, OXCT1, TRIM63, NANS, NT5C2, TKTL1, UBE2R2, UBE2N, UBE2I, TRIM55, NEDL2, TRIM26, ZNRF4, CCNB1IP1, UMPS, RNF113A, CS, SHMT2, MAEA, SIAH2, RNF103, RNF130, UBE2T, YKT6, C9orf125, UBE2D3, GSTP1, UBE3A, MKRN2, TRIM32, UBE2D4, COQ2, GSTT1, PXMP3, RCHY1, CDIPT, KIAA0776, ST8SIA5, NAGS
