description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Abnormality of mitochondrial metabolism	HP:0003287	76	505	187	5046	9.692781820577442e-30	5.874795061451988e-26	4.060951977550696	0	RRM2B, NDUFA12, MRPS14, NDUFB9, NDUFB11, NDUFA6, NDUFS3, MRPS16, TTC19, NDUFS1, C6orf66, SCO1, TSFM, NFU1, HIBCH, CDK5, LIAS, GLRX5, SMCR7, DLD, HADHA, SLC25A26, NDUFA13, NDUFS8, ETFDH, SDHD, CYC1, NDUFAF1, NDUFC2, ISCA2, ETFA, GFER, NARS2, NDUFA11, FXN, NDUFV1, CARS2, MRPS23, NDUFA2, NDUFS6, ATP5A1, CYBA, TTN, MRPL12, PUS1, AFG3L2, ACADVL, ECHS1, HADH, SCN4A, ATPAF2, CPT2, ETFB, NDUFS4, TMEM126B, MYH7, NDUFS2, PDHB, PDHA1, DLAT, UQCRQ, SUCLG1, SLC25A20, TMEM70, SLC25A4, SUCLA2, AK2, NDUFA1, COX5A, PTPLA, AIFM1, COX4I1, C14orf112, HSD17B10, NDUFB8, OPA1
Abnormality of the mitochondrion	HP:0012103	79	505	211	5046	5.082852766411658e-28	1.540358530861053e-24	3.7411102247665524	0	RRM2B, NDUFA12, MRPS14, NDUFB9, NDUFB11, NDUFA6, NDUFS3, MRPS16, TTC19, NDUFS1, C6orf66, SCO1, TSFM, NFU1, HIBCH, CDK5, LIAS, GLRX5, SMCR7, DLD, HADHA, SLC25A26, NDUFA13, NDUFS8, ETFDH, SQSTM1, SDHD, CYC1, NDUFAF1, NDUFC2, ISCA2, ETFA, GFER, NARS2, NDUFA11, FXN, NDUFV1, CARS2, MRPS23, NDUFA2, NDUFS6, ATP5A1, CYBA, TTN, MRPL12, PUS1, AFG3L2, ACADVL, ECHS1, HADH, SCN4A, ATPAF2, CPT2, FH, ETFB, NDUFS4, TMEM126B, MYH7, NDUFS2, PDHB, PDHA1, DLAT, UQCRQ, C2orf33, SUCLG1, SLC25A20, TMEM70, SLC25A4, SUCLA2, AK2, NDUFA1, COX5A, PTPLA, AIFM1, COX4I1, C14orf112, HSD17B10, NDUFB8, OPA1
Increased circulating lactate concentration	HP:0002151	74	505	202	5046	1.5270131764072848e-25	3.085075620734851e-22	3.660464660327419	0	RRM2B, NDUFA12, MDH2, MRPS14, DARS2, NDUFB9, NDUFA6, MRPS7, NDUFS3, HADHB, MRPS16, PMPCB, PPCS, NDUFS1, C6orf66, SCO1, TSFM, NFU1, HIBCH, CDK5, LIAS, GLRX5, MRPS28, DLD, SLC25A26, NDUFA13, NDUFS8, CYC1, NDUFAF1, FARS2, NDUFC2, HTRA2, ACAT1, NARS2, PDSS2, NDUFA11, MIPEP, NDUFV1, COX8A, PROSC, CARS2, MRPL3, ATP5A1, MRPL12, PUS1, ECHS1, NGLY1, ATPAF2, RMND1, SLC25A12, TMEM126B, NDUFS2, PDHA1, CLPB, UQCRQ, SUCLG1, LDHA, TMEM70, SOD1, SLC25A4, SUCLA2, LARS2, NDUFA1, COX5A, GOT2, RNASEH1, RARS, AIFM1, COX4I1, HSD17B10, NDUFB8, OPA1, UQCRC2, BRP44L
Abnormality of acid-base homeostasis	HP:0004360	113	505	422	5046	2.83810742683489e-25	3.8676377976294553e-22	2.675604148092534	0	RRM2B, MCEE, NDUFA12, MDH2, PRDX1, MRPS14, PET112L, DARS2, NDUFB9, NDUFB11, C2orf25, NDUFA6, MRPS7, ATPAF1, KCNJ16, NDUFS3, HADHB, MRPS16, PMPCB, PPCS, KLF11, NDUFS1, C6orf66, SCO1, TSFM, NFU1, HIBCH, IDH2, CDK5, LIAS, GLRX5, MRPS28, DLD, HADHA, SLC25A26, PCCB, NDUFA13, NDUFS8, ETFDH, SDHD, CYC1, NDUFAF1, FARS2, NDUFC2, HTRA2, LMBRD1, ETFA, USMG5, PHKB, ACAT1, GFER, NARS2, PDSS2, NDUFA11, AIP, MIPEP, NDUFV1, COX8A, PROSC, CARS2, MRPL3, NDUFA2, NDUFS6, UQCRFS1, ATP5A1, MRPL12, PUS1, ACADVL, ECHS1, NGLY1, HADH, OXCT1, ATPAF2, CPT2, FH, ETFB, RMND1, NDUFS4, SLC25A12, TMEM126B, NDUFS2, PDHB, BCKDHA, PDHA1, APPL1, CLPB, DLAT, UQCRQ, SUCLG1, LDHA, TMEM70, RRAGD, SOD1, PCCA, SLC25A4, COQ2, SUCLA2, LARS2, NDUFA1, COX5A, GOT2, PMPCA, RNASEH1, RARS, AIFM1, COX4I1, C14orf112, HSD17B10, NDUFB8, OPA1, UQCRC2, NAGS, BRP44L
Acidosis	HP:0001941	108	505	392	5046	3.1905937944476614e-25	3.8676377976294553e-22	2.752919781774096	0	RRM2B, MCEE, NDUFA12, MDH2, PRDX1, MRPS14, PET112L, DARS2, NDUFB9, NDUFB11, NDUFA6, MRPS7, ATPAF1, KCNJ16, NDUFS3, HADHB, MRPS16, PMPCB, PPCS, KLF11, NDUFS1, C6orf66, SCO1, TSFM, NFU1, HIBCH, CDK5, LIAS, GLRX5, MRPS28, DLD, HADHA, SLC25A26, PCCB, NDUFA13, NDUFS8, ETFDH, SDHD, CYC1, NDUFAF1, FARS2, NDUFC2, HTRA2, ETFA, USMG5, PHKB, ACAT1, GFER, NARS2, PDSS2, NDUFA11, MIPEP, NDUFV1, COX8A, PROSC, CARS2, MRPL3, NDUFA2, NDUFS6, UQCRFS1, ATP5A1, MRPL12, PUS1, ACADVL, ECHS1, NGLY1, HADH, OXCT1, ATPAF2, CPT2, FH, ETFB, RMND1, NDUFS4, SLC25A12, TMEM126B, NDUFS2, PDHB, BCKDHA, PDHA1, APPL1, CLPB, DLAT, UQCRQ, SUCLG1, LDHA, TMEM70, RRAGD, SOD1, PCCA, SLC25A4, COQ2, SUCLA2, LARS2, NDUFA1, COX5A, GOT2, PMPCA, RNASEH1, RARS, AIFM1, COX4I1, C14orf112, HSD17B10, NDUFB8, OPA1, UQCRC2, BRP44L
Abnormal activity of mitochondrial respiratory chain	HP:0011922	53	505	140	5046	3.4845286556374548e-19	3.519954696969769e-16	3.7827157001414426	0	RRM2B, NDUFA12, MRPS14, NDUFB9, NDUFB11, NDUFA6, NDUFS3, MRPS16, TTC19, NDUFS1, C6orf66, TSFM, NFU1, CDK5, SMCR7, SLC25A26, NDUFA13, NDUFS8, SDHD, CYC1, NDUFAF1, NDUFC2, ISCA2, GFER, NARS2, NDUFA11, NDUFV1, CARS2, MRPS23, NDUFA2, NDUFS6, ATP5A1, MRPL12, PUS1, AFG3L2, SCN4A, ATPAF2, NDUFS4, TMEM126B, NDUFS2, UQCRQ, SUCLG1, TMEM70, SLC25A4, SUCLA2, NDUFA1, COX5A, PTPLA, AIFM1, COX4I1, C14orf112, NDUFB8, OPA1
Lactic acidosis	HP:0003128	59	505	171	5046	5.90691996042097e-19	5.114548840015929e-16	3.4475594927913846	0	RRM2B, MRPS14, PET112L, NDUFB9, NDUFB11, NDUFA6, MRPS7, ATPAF1, NDUFS3, MRPS16, NDUFS1, C6orf66, TSFM, NFU1, LIAS, DLD, HADHA, SLC25A26, PCCB, NDUFS8, SDHD, CYC1, NDUFAF1, FARS2, USMG5, PHKB, GFER, NDUFA11, MIPEP, NDUFV1, COX8A, PROSC, NDUFS6, UQCRFS1, ATP5A1, PUS1, HADH, ATPAF2, FH, RMND1, NDUFS4, TMEM126B, NDUFS2, PDHB, BCKDHA, PDHA1, DLAT, SUCLG1, TMEM70, PCCA, SLC25A4, COQ2, SUCLA2, LARS2, NDUFA1, PMPCA, C14orf112, HSD17B10, BRP44L
Increased CSF lactate	HP:0002490	42	505	96	5046	3.82530529743656e-18	2.5761306008625545e-15	4.371534653465347	0	RRM2B, NDUFA12, MDH2, DARS2, NDUFB9, NDUFB11, NDUFA6, NDUFS3, TTC15, NDUFS1, C6orf66, NFU1, ALDH4A1, GLRX5, NDUFS8, NDUFAF1, FARS2, HMBS, HTRA2, NARS2, NDUFA11, NDUFV1, COX8A, NDUFS6, ECHS1, ATPAF2, RMND1, NDUFS4, TMEM126B, NDUFS2, PDHA1, CLPB, SUCLG1, ATP5O, SLC25A4, SUCLA2, NDUFA1, AIFM1, COX4I1, HSD17B10, NDUFB8, OPA1
Abnormal CSF lactate concentration	HP:0030085	42	505	96	5046	3.82530529743656e-18	2.5761306008625545e-15	4.371534653465347	0	RRM2B, NDUFA12, MDH2, DARS2, NDUFB9, NDUFB11, NDUFA6, NDUFS3, TTC15, NDUFS1, C6orf66, NFU1, ALDH4A1, GLRX5, NDUFS8, NDUFAF1, FARS2, HMBS, HTRA2, NARS2, NDUFA11, NDUFV1, COX8A, NDUFS6, ECHS1, ATPAF2, RMND1, NDUFS4, TMEM126B, NDUFS2, PDHA1, CLPB, SUCLG1, ATP5O, SLC25A4, SUCLA2, NDUFA1, AIFM1, COX4I1, HSD17B10, NDUFB8, OPA1
Decreased activity of mitochondrial respiratory chain	HP:0008972	50	505	136	5046	1.6293565451560386e-17	9.875530020190751e-15	3.6735585323238205	0	RRM2B, NDUFA12, MRPS14, NDUFB9, NDUFB11, NDUFA6, NDUFS3, MRPS16, TTC19, NDUFS1, C6orf66, TSFM, NFU1, SMCR7, SLC25A26, NDUFA13, NDUFS8, SDHD, CYC1, NDUFAF1, NDUFC2, ISCA2, GFER, NARS2, NDUFA11, NDUFV1, CARS2, MRPS23, NDUFA2, NDUFS6, ATP5A1, MRPL12, PUS1, SCN4A, ATPAF2, NDUFS4, TMEM126B, NDUFS2, UQCRQ, SUCLG1, TMEM70, SLC25A4, SUCLA2, NDUFA1, COX5A, AIFM1, COX4I1, C14orf112, NDUFB8, OPA1
