description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Diabetic cardiomyopathy	hsa05415	72	844	191	8380	5.465689940951471e-25	1.8747316497463547e-22	3.742835165380512	0	VDAC1, GSR, TNNI3, RELA, NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, CAMK2D, NDUFAB1, NDUFS5, COX7A1, ATP5C1, BRP44, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, CAMK2B, PPP1CA, NDUFC2, CPT1B, CD36, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, AKT1, ATP5G1, ATP5A1, CYBA, COX7B, RAC1, ATP5B, ATP5G3, CPT2, RYR2, PDK2, NFKB1, NDUFS4, NDUFS2, NDUFC1, PDHB, ATP5H, PDHA1, UQCRQ, ATP5O, NDUFB5, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, PLN, COX4I1, PDK4, NDUFB8, ATP5F1, UQCRC2, PIK3R1, SMAD2, BRP44L
Oxidative phosphorylation	hsa00190	56	844	122	8380	1.106126627591026e-24	1.8970071663186095e-22	4.557532437262062	0	NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, PPA1, NDUFS3, ATP6V1E1, NDUFS1, NDUFAB1, CYCS, NDUFS5, COX7A1, ATP5C1, ATP6V1A, COX6C, NDUFA13, NDUFS8, SDHD, ATP6V1B2, CYC1, NDUFC2, ATP6V0D1, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, ATP5A1, COX7B, ATP5B, ATP5G3, NDUFS4, NDUFS2, NDUFC1, ATP5H, UQCRQ, ATP5L, ATP6V1G1, ATP5J2, ATP5O, NDUFB5, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, COX4I1, NDUFB8, ATP5F1, UQCRC2
Parkinson disease	hsa05012	84	844	254	8380	1.786782191909758e-24	2.0428876394168235e-22	3.2835765197596745	0	VDAC1, NDUFB2, NDUFA12, TUBB2C, RPS27A, NDUFB9, NDUFB11, NDUFA6, PSMB3, PSMB5, NDUFS3, PSMA1, NDUFS1, CAMK2D, NDUFAB1, CYCS, NDUFS5, COX7A1, UBC, XBP1, KEAP1, ATP5C1, CALM2, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, CAMK2B, PSMA5, UBB, PSMC6, NDUFC2, HTRA2, PSMD3, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, PSMA2, MAPT, ATP5A1, MAOB, TUBB1, COX7B, PSMB1, ATP5B, ATP5G3, TUBA8, PSMA3, MFN2, NDUFS4, NDUFS2, NDUFC1, ATP5H, PSMD13, PSMD2, UQCRQ, PSMA7, ATP5O, SOD1, NDUFB5, TRAP1, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, PSMB6, COX4I1, PSMD1, NDUFB8, ATP5F1, UQCRC2, PSMD12, PSMC2, PARK7
Prion disease	hsa05020	82	844	261	8380	2.9556928019943047e-22	2.5345065777101163e-20	3.11942764794538	0	VDAC1, NDUFB2, NDUFA12, TUBB2C, NDUFB9, NDUFB11, NDUFA6, PSMB3, PSMB5, NDUFS3, PSMA1, NDUFS1, CAV3, NDUFAB1, CYCS, NDUFS5, COX7A1, CAV2, ATP5C1, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, PSMA5, PSMC6, NDUFC2, PSMD3, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, PSMA2, ATP5A1, CYBA, TUBB1, COX7B, PSMB1, RAC1, ATP5B, ATP5G3, TUBA8, PSMA3, RYR2, C1QA, NDUFS4, NDUFS2, NDUFC1, PPP3CC, ATP5H, CSNK2A1, PSMD13, PSMD2, UQCRQ, PSMA7, HSPA8, MAPK1, NCAM1, ATP5O, SOD1, NDUFB5, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, PSMB6, COX4I1, PSMD1, NDUFB8, ATP5F1, UQCRC2, PIK3R1, PSMD12, PSMC2
Huntington disease	hsa05016	86	844	294	8380	5.454994701268142e-21	3.742126365069945e-19	2.90437502015024	0	VDAC1, NDUFB2, NDUFA12, TUBB2C, NDUFB9, NDUFB11, NDUFA6, POLR2G, PSMB3, PSMB5, NDUFS3, PSMA1, NDUFS1, CLTC, NDUFAB1, CYCS, NDUFS5, COX7A1, POLR2K, WIPI1, ATP5C1, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, AP2M1, PSMA5, PSMC6, NDUFC2, PSMD3, NDUFA11, NDUFA3, NDUFV3, DCTN6, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, PSMA2, ATP5A1, GPX3, TUBB1, COX7B, POLR2E, PSMB1, ATP5B, ATP5G3, TUBA8, PSMA3, DNAL1, NDUFS4, POLR2L, NDUFS2, NDUFC1, ATP5H, PSMD13, POLR2I, PSMD2, UQCRQ, SOD2, GPX1, PSMA7, SLC1A2, ATP5O, SOD1, DCTN3, NDUFB5, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, PSMB6, COX4I1, PPARGC1A, PSMD1, NDUFB8, ATP5F1, UQCRC2, PSMD12, PSMC2
Chemical carcinogenesis - reactive oxygen species	hsa05208	69	844	212	8380	8.314991233732195e-20	4.753403321950238e-18	3.2315791826880083	0	VDAC1, RELA, NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, NDUFAB1, NDUFS5, IKBKG, GSTM3, COX7A1, KEAP1, ATP5C1, COX6C, NDUFA13, EGF, NDUFS8, SDHD, AKR1C3, CYC1, ACP1, NDUFC2, NDUFA11, NDUFA3, NDUFV3, GSTA4, NDUFV1, COX8A, AS3MT, COX7B2, NDUFA2, NDUFS6, UQCRFS1, AKT1, ATP5G1, ATP5A1, CYBA, COX7B, GSTM1, GSTO2, RAC1, ATP5B, ATP5G3, NFKB1, NDUFS4, NDUFS2, NDUFC1, ATP5H, UQCRQ, SOD2, MAPK1, ATP5O, SOD1, NDUFB5, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, GSTT1, COX4I1, NDUFB8, ATP5F1, UQCRC2, PIK3R1
Amyotrophic lateral sclerosis	hsa05014	94	844	354	8380	1.238053175028489e-19	6.0664605576395966e-18	2.636490213404022	0	VDAC1, NDUFB2, NDUFA12, TUBB2C, NDUFB9, NDUFB11, NDUFA6, PSMB3, PSMB5, NDUFS3, PSMA1, NDUFS1, NDUFAB1, CYCS, NDUFS5, COX7A1, XBP1, WIPI1, ATP5C1, COX6C, NDUFA13, NDUFS8, SQSTM1, SDHD, CYC1, PSMA5, PSMC6, NDUFC2, PSMD3, HNRPA2B1, NDUFA11, NDUFA3, NDUFV3, DCTN6, RAB1A, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, SFRS3, UQCRFS1, ATP5G1, PSMA2, ATP5A1, GPX3, TUBB1, COX7B, GLE1L, PSMB1, RAC1, ATP5B, NUP153, ATP5G3, TUBA8, NUP43, PSMA3, DNAL1, NDUFS4, NXT1, NDUFS2, NDUFC1, PPP3CC, ATP5H, PSMD13, PSMD2, UQCRQ, GPX1, PSMA7, SLC1A2, ATP5O, SOD1, DCTN3, NDUFB5, ATP5J, CHMP2B, UQCR, NDUFA1, ALS2, COX5A, NDUFB1, ANXA7, NUP98, ATXN2, PSMB6, COX4I1, PSMD1, NDUFB8, ATP5F1, UQCRC2, DERL1, MAP1LC3B, PSMD12, PSMC2
Pathways of neurodegeneration - multiple diseases	hsa05022	108	844	466	8380	1.222089152773528e-17	5.239707242516501e-16	2.3011207615483187	0	VDAC1, RELA, NDUFB2, NDUFA12, TUBB2C, RPS27A, NDUFB9, NDUFB11, NDUFA6, PSMB3, PSMB5, NDUFS3, PSMA1, NDUFS1, CSNK1E, CAMK2D, NDUFAB1, CYCS, NDUFS5, CDK5, COX7A1, PSEN1, UBC, XBP1, WIPI1, ATP5C1, CALM2, COX6C, NDUFA13, NDUFS8, SQSTM1, SDHD, CYC1, CAMK2B, PSMA5, UBB, PSMC6, NDUFC2, HTRA2, ZFYVE1, PSMD3, NDUFA11, NDUFA3, NDUFV3, DCTN6, RAB1A, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, PSMA2, MAPT, ATP5A1, GPX3, TUBB1, COX7B, PSMB1, RAC1, ATP5B, ATP5G3, TUBA8, PSMA3, MFN2, RYR2, NFKB1, DNAL1, NDUFS4, NDUFS2, NDUFC1, PPP3CC, ATP5H, CSNK2A1, PSMD13, PSMD2, UQCRQ, GPX1, PSMA7, MAPK1, ATP5O, SOD1, DCTN3, NDUFB5, TRAP1, SLC25A4, ATP5J, CHMP2B, UQCR, NDUFA1, ALS2, COX5A, NDUFB1, DKK4, ATXN2, PSMB6, COX4I1, PSMD1, HSD17B10, NDUFB8, ATP5F1, UQCRC2, DERL1, MAP1LC3B, PSMD12, PSMC2, PARK7
Alzheimer disease	hsa05010	89	844	374	8380	2.1824485832388724e-15	8.317554045010369e-14	2.3627619940694933	0	VDAC1, RELA, NDUFB2, NDUFA12, TUBB2C, NDUFB9, NDUFB11, NDUFA6, PSMB3, PSMB5, NDUFS3, PSMA1, NDUFS1, CSNK1E, NDUFAB1, CYCS, NDUFS5, IKBKG, CDK5, COX7A1, PSEN1, XBP1, WIPI1, ATP5C1, PSENEN, CALM2, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, PSMA5, PSMC6, NDUFC2, PSMD3, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, LPL, NDUFA2, NDUFS6, UQCRFS1, AKT1, ATP5G1, PSMA2, MAPT, ATP5A1, TUBB1, COX7B, PSMB1, ATP5B, ATP5G3, TUBA8, PSMA3, NFKB1, NDUFS4, APBB1, NDUFS2, NDUFC1, PPP3CC, ATP5H, CSNK2A1, PSMD13, PSMD2, UQCRQ, PSMA7, MAPK1, ATP5O, NDUFB5, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, DKK4, PSMB6, COX4I1, PSMD1, HSD17B10, NDUFB8, ATP5F1, UQCRC2, PIK3R1, PSMD12, PSMC2
Thermogenesis	hsa04714	63	844	220	8380	3.950363223404242e-15	1.354974585627655e-13	2.843278759155536	0	NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, RHEB, NDUFS1, C6orf66, NDUFAB1, NDUFS5, PRKAB1, COX7A1, ATP5C1, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, NDUFAF1, NDUFC2, CPT1B, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, ATP5A1, COX7B, PRKAG2, ATP5B, ATP5G3, CPT2, NDUFS4, NDUFS2, NDUFC1, ATP5H, C2orf56, UQCRQ, ATP5L, SLC25A20, ATP5J2, ATP5O, NDUFB5, PRKAG1, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, NPPB, COX4I1, PPARGC1A, C14orf112, NDUFB8, ATP5F1, UQCRC2, E2IG2
