description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Fatal infantile hypertonic myofibrillar myopathy	613869	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CRYAB
Syndactyly-telecanthus-anogenital and renal malformations syndrome	300707	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	FAM58A
Van der Woude syndrome 1	119300	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	IRF6
Protoporphyria, erythropoietic, 2	618015	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CLPX
Congenital myopathy 22A, classic	620351	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SCN4A
Myofibrillar myopathy 6	612954	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	BAG3
Glycogen storage disease, type VII	232800	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PFKM
Aplastic anemia	609135	2	490	5	4914	0.08095590876637264	0.10583259049516718	4.0114285714285725	0	NBN, SBDS
Cardiomyopathy, familial restrictive, 1	115210	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	TNNI3
Myopathy, reducing body, X-linked, childhood-onset	300718	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	FHL1
Cerebrooculofacioskeletal syndrome 4	610758	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ERCC1
Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	609016	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	HADHA
Intellectual disability, autosomal dominant 38	616393	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	EEF1A2
Hypertrophic cardiomyopathy 18	613874	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PLN
Autosomal recessive limb-girdle muscular dystrophy type 2C	253700	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SGCG
Severe X-linked mitochondrial encephalomyopathy	300816	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	AIFM1
Melanoma, uveal, susceptibility to, 1	606660	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	MBD4
Retinitis pigmentosa 79	617460	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	HK1
Neurodevelopmental disorder with microcephaly, hypotonia, and absent language	620038	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PSMB1
Progressive supranuclear palsy-parkinsonism syndrome	260540	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	MAPT
Combined oxidative phosphorylation deficiency 22	616045	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ATP5A1
Progressive scapulohumeroperoneal distal myopathy	616852	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ACTA1
Neurofibromatosis, type 2	101000	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	NF2
Proximal myopathy with extrapyramidal signs	615673	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CBARA1
Developmental and epileptic encephalopathy 97	619561	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CUGBP2
Mandibuloacral dysplasia progeroid syndrome	619127	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	MTX2
Polyposis syndrome, hereditary mixed, 2	610069	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	BMPR1A
Mitochondrial complex 1 deficiency, nuclear type 4	618225	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	NDUFV1
Spinal muscular atrophy with congenital bone fractures 2	616867	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ASCC1
Pyruvate dehydrogenase E3 deficiency	246900	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	DLD
Oculopharyngeal muscular dystrophy 2	620460	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	HNRPA2B1
Paragangliomas 1	168000	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SDHD
Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia	619286	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CRSP8
Lethal congenital contracture syndrome 1	253310	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	GLE1L
Dilated cardiomyopathy 1Y	611878	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	TPM1
Renal hypomagnesemia 4	611718	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	EGF
Hyperlipoproteinemia, type I	238600	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	LPL
MYH7-related skeletal myopathy	160500	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	MYH7
Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type), autosomal recessive	615418	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SLC25A4
DK1-congenital disorder of glycosylation	610768	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	DOLK
Intellectual disability, autosomal recessive 6	611092	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	GRIK2
Intellectual developmental disorder with speech delay and axonal peripheral neuropathy	619099	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SDCCAG1
Surfactant metabolism dysfunction, pulmonary, 1	265120	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SFTPB
Polyagglutinable erythrocyte syndrome	300622	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	C1GALT1C1
Danon disease	300257	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	LAMP2
Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A9	616538	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	DAG1
Goldberg-Shprintzen syndrome	609460	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	KIAA1279
Myotonic dystrophy type 2	602668	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CNBP
Charcot-Marie-Tooth disease type 2B	600882	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	RAB7A
Parkinson disease 13, autosomal dominant, susceptibility to	610297	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	HTRA2
Myopathy, congenital proximal, with minicore lesions	618823	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	FXR1
Mitochondrial complex 1 deficiency, nuclear type 2	618222	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	NDUFS8
Protoporphyria, erythropoietic, 1	177000	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	FECH
Cardiomyopathy, dilated, 2D	619371	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	RPL3L
Pyruvate dehydrogenase E2 deficiency	245348	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	DLAT
Deafness, autosomal recessive 26, modifier of	605429	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	KIAA0859
Krabbe disease due to saposin A deficiency	611722	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PSAP
Immunodeficiency 106, susceptibility to viral infections	619935	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	IFNAR1
Intellectual developmental disorder, autosomal recessive 72	618665	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	METTL5
Linear skin defects with multiple congenital anomalies 3	300952	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	NDUFB11
Pontocerebellar hypoplasia, IIA 17	619909	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PRDM13
Intellectual disability, autosomal recessive 56	617125	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ZC3H14
Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	604273	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ATPAF2
Hypoalphalipoproteinemia, primary, 2	618463	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	APOA1
Autosomal recessive cutis laxa type 2D	617403	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ATP6V1A
Loeys-Dietz syndrome 6	619656	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SMAD2
3-methylglutaconic aciduria, type VIIB	616271	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	CLPB
X-linked intellectual disability, van Esch type	301030	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	POLA1
Gabriele de Vries syndrome	617557	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	YY1
Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency	614891	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	IL12RB1
Friedreich ataxia 1	229300	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	FXN
Spinocerebellar ataxia type 2	183090	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ATXN2
Dilated cardiomyopathy 1P	609909	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PLN
Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome	601552	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	ASPH
Paget disease of bone 3	167250	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SQSTM1
Beta-hydroxyisobutyryl-CoA deacylase deficiency	250620	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	HIBCH
Deficiency of guanidinoacetate methyltransferase	612736	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	GAMT
Catecholaminergic polymorphic ventricular tachycardia 1	604772	2	490	3	4914	0.027802451936786758	0.10583259049516718	6.685714285714286	0	CASQ2, RYR2
Niemann-Pick disease, type C2	607625	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	NPC2
D-2-hydroxyglutaric aciduria 2	613657	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	IDH2
Hemochromatosis type 4	606069	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	SLC40A1
Waardenburg syndrome type 2A	193510	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	MITF
Odontochondrodysplasia 1	184260	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	TRIP11
Spinocerebellar ataxia, autosomal recessive 32	619862	1	490	1	4914	0.09971509971509972	0.10583259049516718	10.02857142857143	0	PRDX3
