description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
TCA cycle	P00051	7	195	10	2265	3.0353825297880467e-06	0.00033692746080647316	8.13076923076923	0	FH, PDK2, CS, PDHA1, SUCLG1, MDH1, ACO2
ATP synthesis	P02721	4	195	4	2265	5.3403914951332936e-05	0.0029639172797989778	11.615384615384615	0	CYCS, ATP5C1, ATP5A1, ATP5B
Ubiquitin proteasome pathway	P00060	11	195	44	2265	0.0008809338612650534	0.03259455286680697	2.9038461538461537	0	WWP1, UBE2E3, UBE2D1, UBE2N, PSMD13, PSMD2, UBE2T, UBE2D3, UBE3A, UBE2D4, PSMD1
Methylmalonyl pathway	P02755	3	195	4	2265	0.0023564477472275656	0.06539142498556495	8.711538461538462	0	MCEE, PCCB, PCCA
Glycolysis	P00024	5	195	17	2265	0.011787621059326864	0.21807098959754698	3.416289592760181	0	PGK1, PFKM, ALDOA, HK1, GPI
Vasopressin synthesis	P04395	4	195	11	2265	0.010843735789241457	0.21807098959754698	4.223776223776224	0	SPCS3, PREP, SEC11C, SPCS2
Parkinson disease	P00049	14	195	89	2265	0.01768926213721551	0.28050115674727455	1.8271391529818495	0	PSMB3, PSMA1, CSNK1E, YWHAQ, PSMA5, PSMA2, PSMB1, PSMA3, STX7, PSMA7, FBXW11, HSPA8, MAPK1, HSPA9
Succinate to proprionate conversion	P02777	2	195	3	2265	0.020873278144816397	0.2896167342593275	7.743589743589744	0	PCCB, ECHDC1
p53 pathway by glucose deprivation	P04397	5	195	21	2265	0.029228054754360515	0.36047934197044634	2.765567765567765	0	RHEB, IGBP1, PRKAB1, AKT1, PRKAG1
Asparagine and aspartate biosynthesis	P02730	2	195	4	2265	0.039390108542405225	0.4293281348742996	5.8076923076923075	0	GOT1, GOT2
Cell cycle	P00013	4	195	16	2265	0.0425460313839396	0.4293281348742996	2.9038461538461537	0	ANAPC10, PSMD3, PSMD13, PSMD12
T cell activation	P00053	11	195	77	2265	0.06196631261347698	0.5731883916746621	1.6593406593406594	0	CD74, CALM2, HLA-DRA, AKT1, RAC1, NFKB1, PPP3CC, B2M, MAPK1, HLA-DPA1, PIK3R1
De novo purine biosynthesis	P02738	5	195	27	2265	0.07633243139966421	0.6136373807137249	2.1509971509971506	0	ADSL, RRM2B, AK3, AK1, AK2
Heme biosynthesis	P02746	3	195	12	2265	0.07739570567560493	0.6136373807137249	2.903846153846154	0	UROD, HMBS, FECH
Lipoate_biosynthesis	P02750	1	195	1	2265	0.08609271523178808	0.6370860927152318	11.615384615384615	0	LIAS
Transcription regulation by bZIP transcription factor	P00055	7	195	47	2265	0.10381003090223023	0.6908845252476864	1.7299509001636661	0	TAF7, PRKAR1A, GTF2E1, POLR2E, POLR2L, GTF2B, GTF2A2
FGF signaling pathway	P00021	13	195	104	2265	0.10581114350640242	0.6908845252476864	1.4519230769230769	0	FGF1, FGF14, YWHAQ, PEBP1, FGF18, AKT1, RAC1, PPP2R1A, MAPK1, PPP2R5E, PPP2R5C, FGF12, PPP2R2A
Fructose galactose metabolism	P02744	2	195	11	2265	0.24347089609340666	0.9008423155456046	2.111888111888112	0	ALDOA, HK1
Acetate utilization	P02722	1	195	3	2265	0.23677570267752743	0.9008423155456046	3.871794871794872	0	ACSS2
5-Hydroxytryptamine degredation	P04372	3	195	17	2265	0.1751318209436856	0.9008423155456046	2.049773755656109	0	ALDH4A1, ALDH1B1, MAOB
Adrenaline and noradrenaline biosynthesis	P00001	4	195	27	2265	0.19815839214997316	0.9008423155456046	1.7207977207977208	0	VTI1B, MAOB, INMT, STX7
Pyridoxal phosphate salvage pathway	P02770	1	195	2	2265	0.16480822783329044	0.9008423155456046	5.8076923076923075	0	PDXK
Vitamin B6 metabolism	P02787	1	195	3	2265	0.23677570267752743	0.9008423155456046	3.871794871794872	0	PDXK
Pyruvate metabolism	P02772	2	195	10	2265	0.21044778469984432	0.9008423155456046	2.3230769230769233	0	CS, PDHA1
Ornithine degradation	P02758	1	195	3	2265	0.23677570267752743	0.9008423155456046	3.871794871794872	0	ODC1
Valine biosynthesis	P02785	1	195	3	2265	0.23677570267752743	0.9008423155456046	3.871794871794872	0	ILVBL
Isoleucine biosynthesis	P02748	1	195	3	2265	0.23677570267752743	0.9008423155456046	3.871794871794872	0	ILVBL
