description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Aerobic respiration and respiratory electron transport	R-HSA-1428517	113	1039	248	10985	3.216617776964917e-51	5.641947580796465e-48	4.817384116240802	0	VDAC1, HAGH, NDUFB2, NDUFA12, MDH2, WDR26, RPS27A, NNT, NDUFB9, NDUFB11, NDUFA6, NDUFS3, TTC19, NDUFS1, C6orf66, SCO1, NDUFAB1, CYCS, IDH2, NDUFS5, CCDC44, COX7A1, UBC, DLD, DLST, ATP5C1, FAHD1, BRP44, COX6C, NDUFA13, NDUFS8, ETFDH, SDHD, GOT1, CYC1, NDUFAF1, UBB, NDUFC2, OXA1L, ISCA2, USMG5, ETFA, GLO1, TMEM186, COQ10A, ACAT1, C20orf24, C14orf2, NDUFA11, NDUFA3, NDUFV3, ACN9, FXN, MRPS36, SIRT3, NDUFV1, COX8A, LDHB, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, ATP5A1, C6orf57, COX7B, ATP5B, ATP5G3, FH, ETFB, IDH3A, PDK2, NDUFS4, SLC25A12, TMEM126B, NDUFS2, NDUFC1, PDHB, ATP5H, CS, MAEA, C2orf56, PDHA1, DLAT, UQCRQ, SUCLG1, ATP5L, LDHA, ATP5J2, TMEM126A, HSPA9, ATP5O, NDUFB5, MDH1, TRAP1, SLC25A4, C18orf55, ATP5J, SUCLA2, UQCR, NDUFA1, COX5A, NDUFB1, GOT2, HIGD1A, IDH3B, COX4I1, PDK4, C14orf112, NDUFB8, ATP5F1, UQCRC2, ACO2, BRP44L
Translation	R-HSA-72766	102	1039	292	10985	6.894668692323861e-34	6.046624443168026e-31	3.6931915566864872	0	SPCS3, MRPS14, RPS27A, DARS2, MRPS7, PPA1, SRPR, RPLP2, MRPS16, RPL36AL, RPS12, MRPL23, EIF4A2, SRP14, MRPS31, TSFM, EIF4B, MRPL46, RPL13A, SSR3, MRPS28, MRPS33, EIF3S1, RPS9, MRPL17, MRPL38, MRPL54, MRPS15, MRPS11, MRPL40, RPL8, EIF3S3, FARS2, RPS16, RPL28, RPL15, RPL3L, RPL37A, EIF2B3, EIF1AX, OXA1L, SSR4, SEC11C, SEC61G, MRPL33, MRPL9, MRPL50, NARS2, EIF3S6, MRPL1, MRPL10, MRPS36, MRPL14, CARS2, MRPL3, MRPS23, MRPL51, MRPL18, MTIF2, APEH, MRPL13, MRPL12, RPN2, MRPL21, IARS, RPL26, MRPL24, EIF2S2, SPCS2, RPL19, MRPS18B, MRPL37, MRPS10, MRPS27, EEF2, MRPL27, RPS24, MRPL35, EIF5, MRPS35, RPL36A, EEF1A2, RPL18, MRPL30, EEF1E1, MRPL19, MRRF, GSPT1, RPL39L, SRP68, MRPS30, SPCS1, MRPL16, LARS2, EIF3S12, DDOST, RARS, EIF4A1, RPS27L, RPS5, MRPL11, MRPL4
Metabolism of proteins	R-HSA-392499	343	1039	2056	10985	2.477641625272507e-31	1.448594470242659e-28	1.763825119933489	0	VDAC1, UBE2H, COPS3, RELA, HIST2H2BE, MDH2, SPCS3, COPS5, PSME1, RGS6, APOA1, TUBB2C, MRPS14, RPS27A, DARS2, CCT5, ASB12, CLPX, MRPS7, DOLK, PPA1, SRPR, HIST1H3C, PSMB3, PFDN1, PSMB5, NDUFS3, ALG2, CLPP, RPLP2, PSMD10, MRPS16, PFDN2, TUSC3, H3F3A, RPL36AL, RPS12, HSP90B1, MRPL23, EIF4A2, SRP14, PSMA1, NSMCE1, NDUFS1, MRPS31, PIGO, TSFM, RAB21, INHBA, EIF4B, MRPL46, NFU1, NDUFAB1, IDH2, DPM2, LTBP1, RPL13A, TFG, IKBKG, RNF2, BRE, LIAS, CCT4, SSR3, GPS1, PDIA6, MRPS28, HIST1H2BD, MRPS33, EIF3S1, RPS9, UBC, DAD1, MRPL17, MITF, KEAP1, DLD, DLST, CECR1, CCT7, MRPL38, ATP5C1, MRPL54, TMED9, MRPS15, GGA2, PSENEN, CALM2, RAB7L1, PCCB, ALDH1B1, MRPS11, NDUFA13, FBXO9, MRPL40, RPL8, SQSTM1, ASXL2, EIF3S3, RBX1, MAT2B, RAB7A, FARS2, TCEB2, RPS16, RPL28, NSMCE4A, RPL15, PSMA5, UBB, RPL3L, PSMC6, HTRA2, FBXO21, RPL37A, EIF2B3, EIF1AX, CMAS, OXA1L, SSR4, UBE2E3, CD55, LYPD1, SEC11C, TIMM10, SEC61G, NR2C1, ACAT1, HIST2H2AA, MRPL33, RWDD1, PSMD3, MRPL9, FBXO32, PIGF, MRPL50, NARS2, ART4, USP10, C22orf32, NDUFV3, EIF3S6, MRPL1, MRPL10, MRPS36, PSME2, DCTN6, RAB1A, MRPL14, TIMM17A, NDUFV1, CUL4A, CARS2, MRPL3, ARF4, LMO7, UCHL3, MRPS23, NDUFA2, MRPL51, HNRPC, MRPL18, UBE2D1, VBP1, ACE2, PSMA2, RHOT1, PEX10, INHA, MTIF2, COPZ1, ATP5A1, APEH, COMMD3, MRPL13, MRPL12, AFG3L2, FECH, RPN2, TUBB1, MRPL21, ITM2B, IARS, USP25, TGOLN2, NGLY1, KIAA1623, RPL26, MRPL24, HADH, USP47, PSMB1, LRRC49, ZC3H15, HRC, RUVBL1, EIF2S2, ACOT2, COMMD10, SPCS2, RPL19, SSBP1, OXCT1, COPG2, ASB11, MRPS18B, ATP5B, NUP153, ASB8, ECH1, NANS, TUBA8, DERL2, CALU, NUP43, UBE2R2, MRPL37, RAB2, PSMA3, TMED10, C1GALT1C1, MRPS10, UBE2N, MRPS27, FH, GNB5, ETFB, EEF2, IDH3A, MRPL27, UBE2I, ZBTB16, RPS24, CHCHD2, MRPL35, C18orf10, FBXO22, EIF5, NEURL2, SNX3, MRPS35, RPL36A, EEF1A2, CANX, DRG1, TRAPPC4, FEM1C, RPL18, BTBD1, PDHB, ATP5H, CSNK2A1, CS, PSMD13, SHMT2, B3GNT8, MRPL30, RAB9A, COMMD7, SIAH2, PDHA1, RNF103, PSMD2, EEF1E1, DLAT, UBE2T, UQCRQ, SUZ12, ALAS1, MRPL19, ATP5L, B2M, PSMA7, IGFBP2, MRRF, YKT6, FBXW11, GATA6, HSPA8, GSPT1, HK1, UBE2D3, HSPA9, RPL39L, SRP68, MRPS30, CTSA, ANK1, ATP5O, CUL2, NEDD8, DCTN3, SFTPB, SPCS1, MRPL16, SKP1A, ATP5J, TCP1, ST3GAL1, LARS2, EIF3S12, TDG, DDOST, COX5A, ASB5, PIGS, PXMP3, TCEB1, YY1, PMPCA, FBXO6, RARS, FEM1A, COMMD1, NUP98, EIF4A1, GGCX, PSMB6, ST8SIA5, COX4I1, RWDD3, PPARGC1A, PSMD1, SPTBN1, HSD17B10, RPS27L, OPA1, UQCRC2, DERL1, TMED7, RPS5, DAG1, PSMD12, PSMC2, MRPL11, SENP8, ACO2, MRPL4, ASPH, CETN2, WDR32, SMAD2, PARK7
Mitochondrial protein degradation	R-HSA-9837999	51	1039	91	10985	4.8999545282810125e-29	2.148630060651224e-26	5.925340299738759	0	MDH2, CLPX, NDUFS3, CLPP, NDUFS1, IDH2, DLD, ATP5C1, PCCB, ALDH1B1, NDUFA13, HTRA2, TIMM10, ACAT1, C22orf32, NDUFV3, TIMM17A, NDUFV1, NDUFA2, ATP5A1, MRPL12, AFG3L2, FECH, HADH, ACOT2, SSBP1, OXCT1, ATP5B, ECH1, MRPS10, FH, IDH3A, CHCHD2, PDHB, ATP5H, CS, SHMT2, PDHA1, UQCRQ, ALAS1, ATP5L, HSPA9, ATP5O, ATP5J, COX5A, PMPCA, COX4I1, HSD17B10, OPA1, UQCRC2, ACO2
Respiratory electron transport	R-HSA-611105	64	1039	148	10985	1.2284161762180379e-27	4.309283946172877e-25	4.5719636864968916	0	NDUFB2, NDUFA12, MDH2, NDUFB9, NDUFB11, NDUFA6, NDUFS3, TTC19, NDUFS1, C6orf66, SCO1, NDUFAB1, CYCS, NDUFS5, CCDC44, COX7A1, COX6C, NDUFA13, NDUFS8, ETFDH, SDHD, GOT1, CYC1, NDUFAF1, NDUFC2, OXA1L, ETFA, TMEM186, COQ10A, C20orf24, NDUFA11, NDUFA3, NDUFV3, FXN, NDUFV1, COX8A, NDUFA2, NDUFS6, UQCRFS1, COX7B, ETFB, NDUFS4, SLC25A12, TMEM126B, NDUFS2, NDUFC1, C2orf56, UQCRQ, TMEM126A, HSPA9, NDUFB5, MDH1, TRAP1, C18orf55, UQCR, NDUFA1, COX5A, NDUFB1, GOT2, HIGD1A, COX4I1, C14orf112, NDUFB8, UQCRC2
Mitochondrial translation	R-HSA-5368287	46	1039	93	10985	3.150119650457957e-23	9.208849778172094e-21	5.229490722054912	0	MRPS14, MRPS7, MRPS16, MRPL23, MRPS31, TSFM, MRPL46, MRPS28, MRPS33, MRPL17, MRPL38, MRPL54, MRPS15, MRPS11, MRPL40, OXA1L, MRPL33, MRPL9, MRPL50, MRPL1, MRPL10, MRPS36, MRPL14, MRPL3, MRPS23, MRPL51, MRPL18, MTIF2, MRPL13, MRPL12, MRPL21, MRPL24, MRPS18B, MRPL37, MRPS10, MRPS27, MRPL27, MRPL35, MRPS35, MRPL30, MRPL19, MRRF, MRPS30, MRPL16, MRPL11, MRPL4
Metabolism	R-HSA-1430728	333	1039	2176	10985	4.775783761695213e-23	1.1966749597162004e-20	1.6179677326898034	0	VDAC1, GSR, ADSL, RRM2B, HAGH, MCEE, NDUFB2, NDUFA12, MDH2, PSME1, APOA1, CKMT2, WDR26, RPS27A, NNT, NDUFB9, NDUFB11, C2orf25, NDUFA6, CIAO1, CA6, PPA1, PSMB3, PSMB5, NDUFS3, ADH5, HADHB, ACOT8, SMS, IMPA1, NOSIP, RPLP2, ZADH1, PSMD10, TTC19, PCBD1, PPCS, RPL36AL, RPS12, PSMA1, NDUFS1, C6orf66, SCO1, HIBCH, NDUFAB1, CYCS, IDH2, PRKAR1A, MLX, NDUFS5, RPL13A, ALDH4A1, CCDC44, PTGDS, GSTM3, PPAP2B, COX7A1, GLRX5, ABHD5, RPS9, UBC, FABP3, FAM96B, DLD, DDO, TNFAIP8, HRSP12, HRASLS3, DLST, RARRES3, PGK1, BDH2, ATP5C1, CALM2, HADHA, FAHD1, UROD, PCCB, BRP44, PDXK, COX6C, ALDH1B1, DGAT1, NDUFA13, NDUFS8, HSP90AA1, RBKS, ETFDH, RPL8, GPD1L, AK1, SDHD, GOT1, MAT2B, B3GALNT1, AKR1C3, CYC1, NDUFAF1, RPS16, PFKM, HMBS, RPL28, PIK4CB, RPL15, PSMA5, C14orf147, PPP1CA, UBB, RPL3L, PSMC6, NDUFC2, LMBRD1, RPL37A, OXA1L, HSD17B8, ISCA2, USMG5, ETFA, GLO1, TMEM186, ACSS2, CPT1B, GAMT, PHKB, COQ10A, CD36, ACAT1, ITGB1BP3, C20orf24, C14orf2, PSMD3, PDSS2, PSAP, NDUFA11, NDUFA3, PGM1, CA14, NHLRC1, TST, NDUFV3, AIP, ACY1, VAPA, ACN9, GSTA4, FXN, MRPS36, PSME2, FAM80A, SIRT3, NDUFV1, DHRS7B, MOCS2, COX8A, NUDT8, AS3MT, SERINC3, HMOX2, LPL, LDHB, NDUFA2, ORMDL2, PGAM1, NDUFS6, PTDSS1, UQCRFS1, AKT1, ATP5G1, SLC19A2, PSMA2, KPNB1, PHYH, ALDOA, DHTKD1, ATP5A1, C6orf57, FECH, LASS2, MAOB, COX7B, PRKAG2, ACADVL, CYB5A, ECHS1, IARS, FDFT1, RPL26, HADH, PSMB1, COQ6, INMT, MED31, ACOT2, GSTM1, GSTO2, ODC1, RPL19, OXCT1, DUT, ATP5B, NUP153, GNPAT, SDSL, ATP5G3, TMLHE, NT5C2, CPT2, NUP43, PSMA3, ASAH1, HDHD1A, FH, GNB5, ETFB, IDH3A, UBE2I, INSIG2, RPS24, PDK2, PYGM, B3GALT2, RPL36A, NDUFS4, PARP9, SLC25A12, TMEM126B, PPP2R1A, NDUFS2, APIP, NDUFC1, RPL18, PDHB, UMPS, ATP5H, BCKDHA, PXMP2, CSNK2A1, CS, PSMD13, SHMT2, NFYC, DECR1, ORMDL1, MAEA, ADK, IMPA2, C2orf56, ESD, PDHA1, PSMD2, MTMR4, EEF1E1, DLAT, DBI, UQCRQ, SUCLG1, ALAS1, INPP5A, BPHL, GPX1, ATP5L, SLC25A20, LDHA, PSMA7, ATP5J2, CKM, TMEM126A, HK1, GPI, GSTP1, HSPA9, PPAP2A, RPL39L, QDPR, CTSA, ATP5O, AKR1B1, NDUFB5, PCCA, MDH1, APOM, TRAP1, SLC25A4, C18orf55, ATP5J, ST3GAL1, COQ2, CRYM, SUCLA2, UQCR, SORD, AK2, NDUFA1, COX5A, PTPLA, NDUFB1, GOT2, GSTT1, ACOT7, CPNE1, CDIPT, TM7SF2, RARS, HIGD1A, IDH3B, PAICS, BCDO2, NUP98, CRSP8, PSMB6, ST8SIA5, COX4I1, PPARGC1A, PDK4, PSMD1, C14orf112, ACAA2, HSD17B10, NDUFB8, ATP5F1, RPS27L, UQCRC2, NAGS, RPS5, PIK3R1, C3F, PSMD12, PSMC2, ACO2, PPP1R3C, MTHFD2, ABHD10, BRP44L
Mitochondrial translation elongation	R-HSA-5389840	44	1039	87	10985	8.908312731396409e-23	1.56251805308693e-20	5.347095460931709	0	MRPS14, MRPS7, MRPS16, MRPL23, MRPS31, TSFM, MRPL46, MRPS28, MRPS33, MRPL17, MRPL38, MRPL54, MRPS15, MRPS11, MRPL40, OXA1L, MRPL33, MRPL9, MRPL50, MRPL1, MRPL10, MRPS36, MRPL14, MRPL3, MRPS23, MRPL51, MRPL18, MRPL13, MRPL12, MRPL21, MRPL24, MRPS18B, MRPL37, MRPS10, MRPS27, MRPL27, MRPL35, MRPS35, MRPL30, MRPL19, MRPS30, MRPL16, MRPL11, MRPL4
Mitochondrial translation initiation	R-HSA-5368286	44	1039	87	10985	8.908312731396409e-23	1.56251805308693e-20	5.347095460931709	0	MRPS14, MRPS7, MRPS16, MRPL23, MRPS31, MRPL46, MRPS28, MRPS33, MRPL17, MRPL38, MRPL54, MRPS15, MRPS11, MRPL40, OXA1L, MRPL33, MRPL9, MRPL50, MRPL1, MRPL10, MRPS36, MRPL14, MRPL3, MRPS23, MRPL51, MRPL18, MTIF2, MRPL13, MRPL12, MRPL21, MRPL24, MRPS18B, MRPL37, MRPS10, MRPS27, MRPL27, MRPL35, MRPS35, MRPL30, MRPL19, MRPS30, MRPL16, MRPL11, MRPL4
Mitochondrial translation termination	R-HSA-5419276	44	1039	87	10985	8.908312731396409e-23	1.56251805308693e-20	5.347095460931709	0	MRPS14, MRPS7, MRPS16, MRPL23, MRPS31, MRPL46, MRPS28, MRPS33, MRPL17, MRPL38, MRPL54, MRPS15, MRPS11, MRPL40, OXA1L, MRPL33, MRPL9, MRPL50, MRPL1, MRPL10, MRPS36, MRPL14, MRPL3, MRPS23, MRPL51, MRPL18, MRPL13, MRPL12, MRPL21, MRPL24, MRPS18B, MRPL37, MRPS10, MRPS27, MRPL27, MRPL35, MRPS35, MRPL30, MRPL19, MRRF, MRPS30, MRPL16, MRPL11, MRPL4
