description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Electron transport chain OXPHOS system in mitochondria	WP111	48	819	92	8468	3.3845396615611326e-25	2.403023159708404e-22	5.394489568402612	0	NDUFB2, NDUFA12, NDUFB9, NDUFA6, NDUFS3, NDUFS1, SCO1, NDUFAB1, NDUFS5, COX7A1, ATP5C1, COX6C, NDUFA13, NDUFS8, SDHD, NDUFC2, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, NDUFA2, NDUFS6, UQCRFS1, ATP5G1, ATP5A1, COX7B, ATP5B, ATP5G3, NDUFS4, NDUFS2, NDUFC1, ATP5H, UQCRQ, ATP5L, ATP5J2, ATP5O, NDUFB5, SLC25A4, ATP5J, UQCR, NDUFA1, COX5A, NDUFB1, COX4I1, NDUFB8, ATP5F1, UQCRC2
Oxidative phosphorylation	WP623	31	819	52	8468	5.533484904301538e-19	1.9643871410270457e-16	6.163895933126702	0	NDUFB2, NDUFB9, NDUFA6, NDUFS3, NDUFS1, NDUFAB1, NDUFS5, NDUFS8, NDUFC2, NDUFA11, NDUFA3, NDUFV3, NDUFV1, NDUFA2, NDUFS6, ATP5G1, ATP5A1, ATP5B, ATP5G3, NDUFS4, NDUFS2, NDUFC1, ATP5H, ATP5L, ATP5J2, ATP5O, NDUFB5, ATP5J, NDUFB1, NDUFB8, ATP5F1
Mitochondrial complex I assembly model OXPHOS system	WP4324	29	819	50	8468	2.216842608222546e-17	5.246527506126693e-15	5.996874236874237	0	NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, C6orf66, NDUFAB1, NDUFS5, NDUFA13, NDUFAF1, NDUFC2, TMEM186, NDUFA3, NDUFV3, NDUFV1, NDUFA2, NDUFS6, NDUFS4, TMEM126B, NDUFS2, NDUFC1, C2orf56, TMEM70, NDUFB5, NDUFA1, NDUFB1, NDUFB8
Nonalcoholic fatty liver disease	WP4396	49	819	150	8468	3.7835160784982135e-15	6.715741039334328e-13	3.377549857549858	0	RELA, NDUFB2, NDUFA12, NDUFB9, NDUFB11, NDUFA6, NDUFS3, NDUFS1, NDUFAB1, CYCS, MLX, NDUFS5, PRKAB1, COX7A1, XBP1, COX6C, NDUFA13, NDUFS8, SDHD, CYC1, NDUFC2, NDUFA11, NDUFA3, NDUFV3, NDUFV1, COX8A, COX7B2, NDUFA2, NDUFS6, UQCRFS1, AKT1, COX7B, PRKAG2, RAC1, NFKB1, NDUFS4, NDUFS2, NDUFC1, UQCRQ, NDUFB5, PRKAG1, UQCR, NDUFA1, COX5A, NDUFB1, COX4I1, NDUFB8, UQCRC2, PIK3R1
Proteasome degradation	WP183	26	819	62	8468	2.0227805231448758e-11	2.8723483428657234e-09	4.33589349718382	0	PSME1, PSMB3, PSMB5, PSMD10, HLA-G, PSMA1, UBC, PSMA5, UBB, PSMC6, PSMD3, PSME2, UCHL3, UBE2D1, PSMA2, RPN2, PSMB1, PSMA3, PSMD13, PSMD2, PSMA7, UBE2D3, PSMB6, PSMD1, PSMD12, PSMC2
TCA cycle aka Krebs or citric acid cycle 	WP78	12	819	18	8468	6.6516783642012616e-09	7.871152730971494e-07	6.892958892958894	0	MDH2, IDH2, DLD, DLST, SDHD, FH, IDH3A, CS, SUCLG1, SUCLA2, IDH3B, ACO2
Metabolic epileptic disorders	WP5355	26	819	91	8468	2.525638694041109e-07	2.5617192468131245e-05	2.9541252398395255	0	MDH2, DLD, PGK1, BRP44, SFXN1, GOT1, PFKM, GAMT, ACAT1, MOCS2, LDHB, PGAM1, ALDOA, DHTKD1, ECHS1, HADH, SHMT2, PDHA1, DLAT, LDHA, HK1, GPI, MDH1, SPCS1, GOT2, BRP44L
Metabolic reprogramming in colon cancer	WP4290	15	819	42	8468	4.320807838666118e-06	0.0003834716956816179	3.692656549799407	0	MDH2, IDH2, DLST, PGK1, PGAM1, FH, IDH3A, PDHB, SHMT2, PDHA1, LDHA, GPI, GOT2, PAICS, ACO2
Krebs cycle disorders	WP4236	8	819	13	8468	6.1261192070016394e-06	0.0004832827374412404	6.362731285808209	0	DLST, LDHB, DHTKD1, FH, SUCLG1, LDHA, SUCLA2, BRP44L
Amino acid metabolism	WP3925	22	819	91	8468	3.919551217272038e-05	0.002782881364263147	2.4996444337103676	0	GSR, MDH2, ADH5, SMS, HIBCH, DLD, DLST, GOT1, IARS, HADH, ODC1, FH, CS, PDHA1, SUCLG1, LDHA, MDH1, LARS2, GOT2, RARS, PDK4, ACO2
Fatty acid beta oxidation	WP143	21	819	86	8468	4.9893290605652496e-05	0.002952019694167773	2.524746571258199	0	RELA, HADHB, IKBKG, DLD, HADHA, NDUFA13, HSP90AA1, ACSS2, CPT1B, ACAT1, LPL, ACADVL, ECHS1, HADH, RAC1, CPT2, NFKB1, AAMP, DECR1, SLC25A20, MAPK1
TCA cycle and deficiency of pyruvate dehydrogenase complex PDHc 	WP2453	8	819	16	8468	4.698425266050434e-05	0.002952019694167773	5.169719169719169	0	DLD, DLST, FH, IDH3A, CS, PDHA1, DLAT, MDH1
Glycolysis and gluconeogenesis	WP534	58	819	360	8468	5.8794410349202595e-05	0.0032110793344564494	1.6657983991317324	0	MYPN, RELA, MDH2, CSRP3, PRKAR1A, C12orf11, JAK2, DLD, AMAC, FHL1, DLST, PGK1, DMD, BRP44, RBX1, GOT1, PFKM, HLA-DRA, FBXO32, ARF6, TCAP, TNNC2, LDHB, PGAM1, AKT1, PEX10, ALDOA, TTN, ANKRD2, RER1, FDFT1, GRIK2, SLBP, TRIM63, TRIM55, CD63, CASQ1, PDHA1, DTNA, DLAT, LDHA, HSPA8, HK1, GPI, MAPK1, MDH1, ALKBH3, GOT2, PXMP3, SSU72, COMMD1, PPARGC1A, INTS4, DAG1, CRYAB, SSPN, SMAD2, BRP44L
Cardiomyocyte signaling converging on titin	WP5344	11	819	33	8468	0.00017026708567321845	0.008634973630570364	3.446479446479447	0	MYPN, CSRP3, PRKAR1A, FHL1, TCAP, TTN, ANKRD2, TRIM63, TRIM55, MAPK1, CRYAB
Translation factors	WP107	14	819	50	8468	0.0001907644727427672	0.009029518376490981	2.8950427350427352	0	EIF1, EIF4A2, EIF4B, EIF3S1, EIF3S3, EIF2B3, EIF1AX, EIF3S6, EIF4EBP3, EIF2S2, EEF2, EIF5, EEF1A2, EIF4A1
Urea cycle and associated pathways	WP4595	9	819	24	8468	0.00024292610021134234	0.010779845696878315	3.8772893772893773	0	MDH2, ALDH4A1, GOT1, LDHB, FH, SLC25A12, MDH1, GOT2, NAGS
Aerobic glycolysis	WP4629	6	819	12	8468	0.0004452504093230241	0.015806389530967354	5.169719169719169	0	PGK1, PFKM, ALDOA, LDHA, HK1, GPI
Eukaryotic transcription initiation	WP405	12	819	42	8468	0.00044287482473098224	0.015806389530967354	2.9541252398395255	0	POLR3K, TAF7, POLR2G, POLR1E, POLR2K, MNAT1, GTF2E1, POLR2E, GTF2B, POLR2I, POLR1B, GTF2A2
nsp1 from SARS CoV 2 inhibits translation initiation in the host cell	WP5027	7	819	16	8468	0.00040368970179524403	0.015806389530967354	4.523504273504273	0	EIF1, EIF3S1, EIF3S3, EIF1AX, EIF3S6, EIF2S2, EIF5
Metabolic reprogramming in pancreatic cancer	WP5220	12	819	42	8468	0.00044287482473098224	0.015806389530967354	2.9541252398395255	0	DLD, GOT1, PDHB, BCKDHA, CS, PDHA1, DLAT, LDHA, HK1, GPI, MDH1, GOT2
Fatty acid biosynthesis	WP357	8	819	22	8468	0.0006887557576144352	0.022228026723011315	3.7597957597957596	0	ACSS2, ECHS1, HADH, ECHDC3, ECH1, ECHDC1, DECR1, ACAA2
Striated muscle contraction pathway	WP383	11	819	38	8468	0.000674683303384896	0.022228026723011315	2.9929953087847827	0	TNNI3, ACTA1, DMD, TCAP, TNNC2, TTN, MYBPC3, TPM1, TMOD1, MYOM1, ACTN2
Aerobic glycolysis augmented	WP4628	6	819	13	8468	0.0007595529174569486	0.023447068321497108	4.772048464356157	0	PGK1, PFKM, ALDOA, LDHA, HK1, GPI
Lipid metabolism pathway	WP3965	9	819	29	8468	0.0011949397990697874	0.033347705033435635	3.2087912087912094	0	PRKAR1A, PRKAB1, ABHD5, ACSS2, AKT1, PRKAG2, BCKDHA, PDHA1, PRKAG1
